,Country_Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,Data.Infrastructure.Telephone Lines,Data.Infrastructure.Telephone Lines per 100 People,Data.Rural Development.Agricultural Land,Data.Rural Development.Agricultural Land Percent,Data.Rural Development.Arable Land,Data.Rural Development.Arable Land Percent,Data.Rural Development.Land Area,Data.Rural Development.Rural Population,Data.Rural Development.Rural Population Growth,Data.Rural Development.Surface Area,Data.Urban Development.Population Density,Data.Urban Development.Urban Population Percent,Data.Urban Development.Urban Population Percent Growth,Country.Code,Country.GDP,Country.Population,Emissions.Production.CH4,Emissions.Production.N2O,Emissions.Production.CO2.Cement,Emissions.Production.CO2.Coal,Emissions.Production.CO2.Gas,Emissions.Production.CO2.Oil,Emissions.Production.CO2.Flaring,Emissions.Production.CO2.Other,Emissions.Production.CO2.Total,Emissions.Global Share.CO2.Cement,Emissions.Global Share.CO2.Coal,Emissions.Global Share.CO2.Gas,Emissions.Global Share.CO2.Oil,Emissions.Global Share.CO2.Flaring,Emissions.Global Share.CO2.Total
11,Canada_2004,10.5,7.2,1.53,82.4,77.4,79.8390243902439,0.996232738932617,13291000.0,42.0712688116672,20612000.0,65.2451277365198,675350.0,7.4267252139163,1.43872332365198,5.01159618233223,9093510.0,6345653,0.602664649184009,9984670.0,3.48336340972848,79.967,1.09507087999595,CAN,1267050000000.0,31815490,90.62,38.99,7.52,115.671,171.315,267.37,15.811,3.072,580.759,0.83,1.06,3.25,2.43,5.08,2.03
12,Canada_2005,10.65,7.25,1.53,82.6,77.8,80.1414634146341,1.00203442432575,15020000.0,47.0638664815028,20563000.0,64.4323759293704,675510.0,7.42848471052432,1.4195655571183,4.99466102748004,9093510.0,6384602,0.611914239478708,9984670.0,3.51844337335088,80.045,1.09952778043555,CAN,1311260000000.0,32164312,91.39,39.95,7.614,116.765,171.842,261.125,15.53,2.976,575.852,0.79,1.01,3.19,2.35,4.68,1.95
13,Canada_2008,11.2,7.1,1.6589,82.748,78.105,80.3698780487805,0.969853611087127,20277400.0,61.4731075542007,18282026.0,55.4239177905794,652824.0,7.17901008521462,1.35864442417899,4.9137241835111,9093510.0,6447349,0.0406916657899339,9984670.0,3.61663736005129,80.396,1.19773853599003,CAN,1398900000000.0,33337636,88.28,40.25,6.988,112.632,184.155,257.766,15.126,2.7,579.367,0.61,0.85,3.14,2.3,4.17,1.81
14,Canada_2011,11.1,7.1,1.6269,83.162,78.733,80.8934878048781,1.11395972071239,25825400.0,75.6760779974588,18394000.0,53.8998729423458,632686.0,6.95755544338765,1.27618439422073,4.77230464364145,9093510.0,6482425,0.179337487708787,9984670.0,3.73951026611287,80.937,1.33536705317397,CAN,1455580000000.0,34539156,86.73,40.22,6.02,87.053,197.435,262.234,14.724,2.404,569.87,0.45,0.59,3.1,2.31,4.16,1.65
15,Canada_2012,11.0,7.2,1.61,83.302,78.941,81.0683170731707,0.987617711325488,27387200.0,79.412158882078,18202000.0,52.7786745622621,625970.0,6.88370057326599,1.25115089692797,4.72512814083891,9093510.0,6485634,0.0494908307480604,9984670.0,3.77662530749952,81.115,1.20729899128077,CAN,1479800000000.0,34922032,87.34,42.51,6.532,81.577,198.953,264.179,15.512,2.51,569.263,0.47,0.55,3.06,2.3,4.26,1.63
16,Argentina_1995,20.8,8.032,2.827,76.142,68.917,72.4413902439024,1.27967734045598,241163.0,0.701068622153627,4986887.0,14.4970414115177,1279480.0,46.7528291476199,0.784840570937648,9.86520212373342,2736690.0,4141681,-0.433135568632535,2780400.0,12.5696892961936,87.96,1.5164272573212,ARG,461601000000.0,34828168,112.63,37.07,2.621,3.701,53.195,62.836,5.412,0.0,127.765,0.42,0.04,1.26,0.67,2.3,0.54
17,Argentina_1996,20.503,7.976,2.774,76.377,69.129,72.6646097560976,1.25325709542503,405395.0,1.16381892109268,5714158.0,16.4043592015518,1280450.0,46.7882734251961,0.778137664653413,9.90430045054427,2736690.0,4122854,-0.455610208382311,2780400.0,12.7282110871162,88.164,1.48491174222325,ARG,489406000000.0,35246376,112.87,37.89,2.422,3.1,57.542,65.921,5.778,0.0,134.762,0.38,0.03,1.31,0.69,2.44,0.56
18,Argentina_1997,20.176,7.927,2.717,76.61,69.338,72.8853170731707,1.22945622416939,667020.0,1.89150032880493,6262637.0,17.7592575105483,1281420.0,46.8237177027723,0.771663622491675,9.94339877735513,2736690.0,4102622,-0.491936048475851,2780400.0,12.8856647994475,88.366,1.45831306730044,ARG,531526000000.0,35657436,113.77,38.37,3.169,2.777,61.504,66.868,3.323,0.0,137.641,0.48,0.03,1.39,0.69,1.37,0.57
19,Argentina_1999,19.465,7.854,2.596,77.076,69.743,73.3200731707317,1.16592769365226,2670862.0,7.39659559567715,7095464.0,19.6499398964401,1283300.0,46.8924138283839,0.759498746889378,10.0212300260534,2736690.0,4059051,-0.553913095033257,2780400.0,13.1945313499154,88.759,1.38586465190768,ARG,538271000000.0,36467220,117.5,38.5,3.29,2.154,67.621,72.725,1.495,0.0,147.285,0.48,0.02,1.46,0.72,0.67,0.6
20,Argentina_2000,19.103,7.83,2.535,77.309,69.939,73.5341219512195,1.11594173600693,3848869.0,10.540642447322,7223168.0,19.7816114876702,1284120.0,46.9223770321081,0.754000637225295,10.0603283528642,2736690.0,4034128,-0.615903312778859,2780400.0,13.3425992713826,88.952,1.33314912334572,ARG,536481000000.0,36870796,117.51,39.91,2.771,1.656,69.438,67.434,1.059,0.0,142.358,0.39,0.02,1.47,0.66,0.39,0.56
21,Argentina_2001,18.757,7.813,2.477,77.54,70.132,73.7456585365854,1.05836337393896,6487950.0,17.5810590485609,7894205.0,21.3917314785787,1285100.0,46.9581867146078,0.748989237127635,10.0997920845985,2736690.0,4006935,-0.676355941088156,2780400.0,13.4845623727934,89.142,1.2717328348464,ARG,515221000000.0,37275644,116.24,39.25,2.481,1.29,64.809,64.336,1.088,2.84e-14,134.004,0.33,0.01,1.36,0.62,0.4,0.53
22,Argentina_2002,18.445,7.801,2.424,77.768,70.321,73.9536829268293,0.998422507080818,6741791.0,18.0874244208887,8131435.0,21.8156742022808,1286060.0,46.9932655872605,0.744392221565423,10.1385250064859,2736690.0,3977440,-0.738821364652385,2780400.0,13.6198696235233,89.329,1.2079814520524,ARG,461203000000.0,37681744,119.5,39.8,1.729,1.099,62.62,57.497,1.447,0.0,124.392,0.22,0.01,1.27,0.55,0.5,0.48
23,Argentina_2003,18.177,7.792,2.379,77.99,70.51,74.1587804878049,0.945747278302308,6566740.0,17.4519490973966,7708568.0,20.4865026405523,1287100.0,47.031267699301,0.74046818627152,10.180911977608,2736690.0,3943743,-0.850812391830259,2780400.0,13.7492902009362,89.519,1.15821719976431,ARG,504301000000.0,38087868,127.2,43.79,2.28,1.99,69.07,59.357,1.935,0.0,134.631,0.27,0.02,1.36,0.56,0.67,0.49
24,Argentina_2004,17.958,7.783,2.34,78.205,70.698,74.3599512195122,0.907083654263898,7842233.0,20.6535373030331,8603869.0,22.6594044504812,1308835.0,47.8254753004542,0.755417158903021,10.4810921222353,2736690.0,3907155,-0.93207846765228,2780400.0,13.8745751254252,89.71,1.12021976838508,ARG,552378000000.0,38491968,129.11,44.1,2.701,2.198,82.911,67.812,1.422,0.0,157.043,0.3,0.02,1.57,0.62,0.46,0.55
25,Argentina_2006,17.66,7.763,2.286,78.609,71.078,74.7516585365854,0.881216292854415,22156426.0,57.3289942567057,9441673.0,24.4300058678549,1377975.0,50.3518849412977,0.851211557567983,12.0209084697207,2736690.0,3832321,-0.967276488981039,2780400.0,14.1221161329928,90.084,1.0867925954257,ARG,655699000000.0,39289876,130.77,45.0,3.764,3.866,83.869,81.912,1.198,0.0,174.609,0.36,0.03,1.52,0.73,0.36,0.57
26,Argentina_2007,17.564,7.753,2.268,78.796,71.27,74.9412195121951,0.878633058650859,31510390.0,80.8188264138509,9459794.0,24.2627733010219,1411040.0,51.5600963207378,0.893946211338025,12.7358232024818,2736690.0,3795182,-0.97382573305571,2780400.0,14.2467444248344,90.266,1.0804616523179,ARG,718085000000.0,39684304,131.03,47.4,3.998,3.66,87.178,77.952,1.458,2.84e-14,174.246,0.36,0.03,1.53,0.69,0.42,0.55
27,Argentina_2010,17.301,7.732,2.228,79.305,71.851,75.4870975609756,0.872174170113582,52482780.0,131.129449217276,9768135.0,24.405912995272,1432970.0,52.3614293178986,0.844425923168759,12.3495901983783,2736690.0,3684176,-0.98979889645614,2780400.0,14.6248354764332,90.795,1.06289530006986,ARG,784986000000.0,40895752,116.14,41.67,4.178,3.99,86.928,90.145,1.491,0.001,186.733,0.33,0.03,1.4,0.8,0.41,0.56
28,Argentina_2012,17.057,7.724,2.201,79.614,72.243,75.8386097560976,0.874237510412883,60722729.0,149.090622449436,9722525.0,23.8714123673559,1475480.0,53.9147656475523,0.934180676062195,13.902926528032,2736690.0,3611417,-0.991628806976994,2780400.0,14.8824813917543,91.133,1.05765373073638,ARG,827405000000.0,41755188,118.86,42.24,4.184,5.009,95.381,85.587,1.554,0.0,191.715,0.3,0.03,1.47,0.74,0.43,0.55
29,Argentina_2013,16.911,7.72,2.188,79.764,72.44,76.0126829268293,0.875605639781153,64327647.0,156.56475598674,9455639.0,23.0137410860637,1487910.0,54.3689639674205,0.956289576000658,14.3571248479002,2736690.0,3576617,-0.968283452629752,2780400.0,15.0133654158856,91.295,1.05320945451387,ARG,847305000000.0,42196036,120.81,44.01,4.581,4.84,91.338,87.487,1.887,2.84e-14,190.133,0.32,0.03,1.39,0.76,0.51,0.54
30,Bolivia_1992,36.372,10.217,4.866,61.07,57.619,59.3024146341464,2.36637584348839,295.0,0.0042404943927727,204059.0,2.93325778066036,357960.0,33.0434782608696,0.303303158262726,1.94775223853042,1083300.0,3020684,0.0849506153539007,1098580.0,6.42180005538632,56.579,4.15322750155933,BOL,24762218496.0,7160917,19.75,7.69,0.271,0.0,1.821,3.408,1.121,0.0,6.621,0.05,0.0,0.05,0.04,0.47,0.03
31,Bolivia_1994,35.554,9.733,4.742,62.067,58.523,60.2517804878049,2.35097594676143,2659.0,0.036460893668982,231739.0,3.17766492589553,362130.0,33.4284131819441,0.301669673079204,2.03083171789901,1083300.0,3050774,0.882115368807395,1098580.0,6.73197175297701,58.167,3.42086210264532,BOL,27164993536.0,7466792,19.0,7.98,0.346,0.0,2.207,4.175,1.866,0.0,8.594,0.06,0.0,0.05,0.05,0.79,0.04
32,Bolivia_1995,35.012,9.513,4.663,62.535,58.919,60.6829024390244,2.31810320793549,4056.0,0.0543424887118084,242823.0,3.25335457013497,363510.0,33.5558017169759,0.314854162901257,2.16929751684667,1083300.0,3076194,0.829778965847417,1098580.0,6.88984861072648,58.785,3.37495746066923,BOL,28507105280.0,7622334,18.39,8.12,0.402,0.0,2.451,5.023,1.924,0.0,9.8,0.06,0.0,0.06,0.05,0.82,0.04
33,Bolivia_1996,34.403,9.307,4.575,62.986,59.286,61.0908780487805,2.27293003399822,7229.0,0.0946778947743408,246881.0,3.23338958912492,366000.0,33.785654943229,0.340520855461732,2.40007384842611,1083300.0,3099957,0.769512185184285,1098580.0,7.04824333056402,59.4,3.31367906541463,BOL,29832024064.0,7779268,20.46,7.2,0.42,0.0,3.1,5.474,1.092,0.0,10.086,0.07,0.0,0.07,0.06,0.46,0.04
34,Bolivia_1999,32.524,8.755,4.302,64.254,60.295,62.2262195121951,2.12911286381774,239272.0,2.93577567411113,452381.0,5.55054137228789,369820.0,34.1382811778824,0.364898394078978,2.74531524046894,1083300.0,3189505,0.894882751178375,1098580.0,7.52350595402936,60.866,2.9307875647481,BOL,33277726720.0,8257066,26.23,9.54,0.539,0.0,3.448,6.035,0.7,0.0,10.722,0.08,0.0,0.07,0.06,0.31,0.04
35,Bolivia_2000,31.966,8.592,4.219,64.657,60.625,62.5918292682927,2.09074514585045,420344.0,5.05074973493249,502568.0,6.03873302053925,370690.0,34.218591341272,0.368883621182715,2.83393335179544,1083300.0,3216527,0.84364737085282,1098580.0,7.68245915258931,61.351,2.8844338563327,BOL,34202658816.0,8418270,19.65,6.81,0.481,0.0,2.711,4.946,0.502,0.001,8.641,0.07,0.0,0.06,0.05,0.19,0.03
36,Bolivia_2001,31.445,8.436,4.14,65.05,60.959,62.9546097560976,2.05580196981094,582620.0,6.85816850339442,510755.0,6.01222727326768,371430.0,34.2869011354195,0.370088252629022,2.90224314594295,1083300.0,3242305,0.798229056724493,1098580.0,7.84202990861257,61.834,2.83998568258737,BOL,34862903296.0,8580244,18.47,7.04,0.437,0.0,2.433,5.078,0.344,0.0,8.292,0.06,0.0,0.05,0.05,0.13,0.03
37,Bolivia_2002,30.938,8.287,4.062,65.435,61.297,63.3155365853659,2.0251401459023,779917.0,8.99655164697097,524391.0,6.04899074479304,371560.0,34.2989015046617,0.363360943381905,2.90778177790086,1083300.0,3267111,0.762161154839421,1098580.0,8.00246099879996,62.313,2.79680556287024,BOL,35825102848.0,8742822,21.55,9.58,0.444,0.0,2.557,4.932,0.451,0.0,8.384,0.06,0.0,0.05,0.05,0.16,0.03
38,Bolivia_2005,29.306,7.884,3.809,66.526,62.304,64.363512195122,1.87677750648768,1800789.0,19.6001898208566,625428.0,6.80729808949226,366170.0,33.8013477337764,0.389546356451787,3.30379396289117,1083300.0,3332162,0.594622712396928,1098580.0,8.48113172713007,63.732,2.61382091121239,BOL,40332390400.0,9232301,24.91,10.75,0.613,0.0,3.701,6.614,0.249,0.0,11.176,0.06,0.0,0.07,0.06,0.08,0.04
39,Bolivia_2006,28.731,7.764,3.72,66.873,62.632,64.7007804878049,1.80240156256075,2421402.0,25.8843113131579,646291.0,6.9087237240624,369620.0,34.119819071356,0.406853917102071,3.51333887196529,1083300.0,3349547,0.520377024231659,1098580.0,8.63538170405243,64.194,2.52469227658354,BOL,42381266944.0,9395449,25.56,11.01,0.691,0.0,4.204,6.484,0.169,0.0,11.548,0.07,0.0,0.08,0.06,0.05,0.04
40,Bolivia_2008,27.659,7.548,3.551,67.55,63.278,65.3619024390244,1.65745416445355,3254410.0,33.6322513118439,678198.0,7.00874369707256,368280.0,33.9961229576295,0.372967127634332,3.3314871226807,1083300.0,3376696,0.370484802350374,1098580.0,8.93238807347918,65.104,2.35415409757793,BOL,47276900352.0,9721457,25.34,9.72,0.803,0.0,5.037,7.542,0.172,0.0,13.554,0.07,0.0,0.09,0.07,0.05,0.04
41,Bolivia_2009,27.204,7.454,3.477,67.882,63.594,65.6857073170732,1.61600158168761,5038600.0,51.2360157484703,788972.0,8.02282019154172,368190.0,33.9878150096926,0.366073228068299,3.32317917474384,1083300.0,3387847,0.329689976115926,1098580.0,9.07790824333056,65.55,2.29871840782207,BOL,48987066368.0,9884790,24.12,8.49,0.911,0.0,5.511,7.669,0.139,0.0,14.229,0.08,0.0,0.1,0.07,0.04,0.05
42,Bolivia_2013,25.948,7.152,3.264,69.168,64.792,66.9266341463415,1.6507000658595,9493207.0,90.4434950079957,879330.0,8.37753548041045,375150.0,34.6302963168097,0.409287667017426,3.96566048186098,1083300.0,3434489,0.363216406954036,1098580.0,9.68917659004893,67.279,2.28290738589256,BOL,60559036416.0,10542375,28.08,9.09,1.199,0.004,7.346,10.354,0.191,0.0,19.094,0.08,0.0,0.11,0.09,0.05,0.05
43,Saudi Arabia_1993,33.903,4.849,5.522,71.808,68.195,69.9574390243903,3.08061990348647,15828.0,0.091684168314014,1568370.0,9.08483062033423,1237460.0,57.5645790788439,0.211427353011215,1.69791923486642,2149690.0,3823718,0.28473557860146,2149690.0,8.03074536328494,77.851,3.89055847538847,SAU,318108000000.0,17763296,79.28,5.5,7.398,0.0,119.721,212.794,0.729,0.0,340.642,1.33,0.0,2.94,2.31,0.31,1.49
44,Saudi Arabia_1994,33.073,4.73,5.352,72.211,68.544,70.3327804878049,2.82405329346248,15910.0,0.0895929383420385,1614676.0,9.09261893842673,1737850.0,80.8418888304825,0.20677892494781,1.70815326861082,2149690.0,3873751,1.30000405675761,2149690.0,8.26077062274095,78.186,3.2534423873088,SAU,336601000000.0,18214474,75.64,5.31,7.246,0.0,124.521,195.159,1.213,0.0,328.139,1.22,0.0,3.03,2.11,0.51,1.43
45,Saudi Arabia_1995,32.283,4.619,5.174,72.587,68.891,70.6939268292683,2.4415825216456,15959.0,0.0877012164250491,1675654.0,9.20840241290177,1737850.0,80.8418888304825,0.201516611711671,1.70582735185073,2149690.0,3925277,1.32136337250276,2149690.0,8.46494657369202,78.429,2.75189913340156,SAU,354481000000.0,18638790,76.58,4.84,7.612,0.0,75.896,178.451,0.462,0.0,262.421,1.21,0.0,1.8,1.91,0.2,1.12
46,Saudi Arabia_1999,28.997,4.218,4.39,73.875,70.251,72.0188048780488,1.15855704212764,627321.0,3.25323932289459,2167037.0,11.23809020034,1737850.0,80.8418888304825,0.18861207288402,1.69187185129019,2149690.0,3975569,0.0203765178695136,2149690.0,8.97011429554959,79.383,1.45629167957191,SAU,440715000000.0,20194532,77.77,5.48,7.842,0.0,82.403,135.143,0.597,0.001,225.986,1.14,0.0,1.78,1.34,0.27,0.92
47,Saudi Arabia_2000,28.065,4.122,4.187,74.166,70.565,72.3215853658537,1.73626599822068,836628.0,4.26400862925732,2706182.0,13.7924900915829,1737850.0,80.8418888304825,0.183173967564447,1.6718689671534,2149690.0,3999482,0.599697021787676,2149690.0,9.12721927347664,79.616,2.02934959083394,SAU,488694000000.0,20663840,82.58,5.72,8.696,0.0,88.183,198.371,1.114,0.0,296.364,1.21,0.0,1.86,1.93,0.41,1.17
48,Saudi Arabia_2003,25.29,3.832,3.634,75.004,71.425,73.1708536585366,4.37191672931401,5007965.0,22.9457741474002,3417000.0,15.6562017229886,1737930.0,80.8456102972987,0.164946813587237,1.67466006726551,2149690.0,4298695,3.22600194160936,2149690.0,10.1527276025846,80.304,4.65498973256519,SAU,608023000000.0,22456644,88.62,6.21,11.545,0.0,97.902,216.839,0.231,0.0,326.517,1.36,0.0,1.92,2.03,0.08,1.19
49,Saudi Arabia_2005,23.776,3.649,3.349,75.526,71.942,73.6902926829268,4.2279372180729,9175764.0,38.4901845197943,3695133.0,15.5002189458209,1737090.0,80.8065348957292,0.146816816364588,1.62814173206369,2149690.0,4588098,3.07077657671691,2149690.0,11.0896133861161,80.754,4.50570907654207,SAU,770496000000.0,23816176,94.14,6.34,11.527,0.0,127.254,256.689,0.385,0.0,395.855,1.2,0.0,2.36,2.31,0.12,1.34
50,Saudi Arabia_2006,23.158,3.566,3.234,75.776,72.188,73.938243902439,3.50684320371762,14164184.0,57.3679447690442,3844000.0,15.5690140492531,1737170.0,80.8102563625453,0.141757411998922,1.62814173206369,2149690.0,4696298,2.33089796660076,2149690.0,11.4854081286139,80.979,3.78507588675706,SAU,835772000000.0,24498312,94.22,6.5,12.391,0.0,135.0,283.766,0.136,0.0,431.292,1.18,0.0,2.45,2.53,0.04,1.41
51,Saudi Arabia_2007,22.62,3.491,3.136,76.021,72.424,74.1786341463415,2.72426643001022,19700000.0,77.6448434995264,3951000.0,15.5723236886614,1736740.0,80.7902534784085,0.135977010189526,1.60488256446278,2149690.0,4768909,1.5343018790813,2149690.0,11.8026022356712,81.204,3.00173317360198,SAU,898734000000.0,25184590,92.33,6.84,14.179,0.0,113.478,258.466,0.385,0.0,386.507,1.26,0.0,1.99,2.3,0.11,1.23
52,Saudi Arabia_2008,22.135,3.426,3.05,76.259,72.652,74.411512195122,2.12023487679118,28400000.0,109.586402395713,3996000.0,15.4192698582137,1736750.0,80.7907186617605,0.132969979808319,1.60302183105471,2149690.0,4813309,0.926723181656093,2149690.0,12.0555168419633,81.427,2.39447433552836,SAU,1008970000000.0,25888536,95.59,6.35,18.37,0.0,125.151,288.815,0.0,0.0,432.336,1.61,0.0,2.13,2.58,0.0,1.35
53,Saudi Arabia_2009,21.675,3.37,2.971,76.491,72.873,74.6378780487805,1.72428492659244,36000000.0,136.53762874645,4100000.0,15.5501188294568,1735720.0,80.7428047765027,0.126638650662333,1.55324721238876,2149690.0,4838490,0.521789919836857,2149690.0,12.2651907949518,81.649,1.99655317526863,SAU,1045210000000.0,26630302,88.59,6.24,20.185,0.0,119.593,326.067,0.0,0.0,465.844,1.72,0.0,2.08,2.96,0.0,1.47
54,Saudi Arabia_2012,20.321,3.268,2.763,77.157,73.508,75.288,1.82971279686287,53705808.0,193.452684213317,4633158.0,16.6890115773773,1733550.0,80.6418599891147,0.112024726991058,1.4467202247766,2149690.0,4914381,0.628048989125074,2149690.0,12.9142936888575,82.298,2.0900842015431,SAU,1438370000000.0,29154906,103.31,7.28,25.374,0.0,151.587,386.219,0.0,0.0,563.18,1.84,0.0,2.33,3.36,0.0,1.61
55,Saudi Arabia_2013,19.864,3.252,2.702,77.37,73.713,75.4969024390244,1.87741790537754,53012322.0,187.403116991373,4801824.0,16.9748607662193,1733900.0,80.6581414064353,0.111708717398332,1.46997939237751,2149690.0,4947546,0.672589140547587,2149690.0,13.1590392103047,82.51,2.13468602786443,SAU,1486740000000.0,30052058,102.67,7.83,28.223,0.0,153.199,359.383,0.0,0.0,540.805,1.96,0.0,2.34,3.1,0.0,1.53
