,Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,Data.Infrastructure.Telephone Lines,Data.Infrastructure.Telephone Lines per 100 People,Data.Rural Development.Agricultural Land,Data.Rural Development.Agricultural Land Percent,Data.Rural Development.Arable Land,Data.Rural Development.Arable Land Percent,Data.Rural Development.Land Area,Data.Rural Development.Rural Population,Data.Rural Development.Rural Population Growth,Data.Rural Development.Surface Area,Data.Urban Development.Population Density,Data.Urban Development.Urban Population Percent,Data.Urban Development.Urban Population Percent Growth,Country_Year
19,Canada,1999,11.4,7.2,1.53,81.5,75.96,78.6624390243902,0.865613663209682,30247900.0,5346000.0,17.7368955495919,19294000.0,64.0134049258936,678340.0,7.45960580677868,1.50982382248024,5.02215316198036,9093510.0,6435543,-0.923153366004388,9984670.0,3.32631734060885,78.724,1.35459018550948,Canada_1999
20,Canada,2000,11.2,7.3,1.51,81.7,76.2,78.8829268292683,0.827369318170541,30499200.0,6911038.0,22.7219698376468,20380000.0,67.0049485028504,677230.0,7.44739929906054,1.49967868009653,5.02985095964045,9093510.0,6373418,-0.970031638675207,9984670.0,3.35395243420857,79.103,1.30764135879385,Canada_2000
21,Canada,2001,10.9,7.1,1.49,81.9,76.7,79.2365853658537,0.882998576899551,30769700.0,8727000.0,28.4290946227574,20840000.0,67.8884303813756,676130.0,7.4353027598804,1.48880229576499,5.03765872583854,9093510.0,6314558,-0.927814211518486,9984670.0,3.38369892373792,79.478,1.35594393505003,Canada_2001
22,Canada,2002,10.6,7.1,1.505,82.1,77.0,79.4878048780488,1.00952166618952,31081900.0,10649000.0,34.3662595813416,21126000.0,68.1774438835029,675020.0,7.42309625216226,1.47610023840241,5.04535652349863,9093510.0,6275436,-0.62147965947573,9984670.0,3.41803110130192,79.81,1.42637638121949,Canada_2002
23,Canada,2003,10.7,7.1,1.52,82.1,77.2,79.590243902439,0.897131276677935,31362000.0,11872000.0,37.9494194844825,20622000.0,65.9192156847201,675170.0,7.42474578023227,1.4580065046872,5.02842136864643,9093510.0,6307525,0.510040038490118,9984670.0,3.44883328879608,79.888,0.994818992055702,Canada_2003
24,Canada,2004,10.5,7.2,1.53,82.4,77.4,79.8390243902439,0.996232738932617,31676000.0,13291000.0,42.0712688116672,20612000.0,65.2451277365198,675350.0,7.4267252139163,1.43872332365198,5.01159618233223,9093510.0,6345653,0.602664649184009,9984670.0,3.48336340972848,79.967,1.09507087999595,Canada_2004
25,Canada,2005,10.65,7.25,1.53,82.6,77.8,80.1414634146341,1.00203442432575,31995000.0,15020000.0,47.0638664815028,20563000.0,64.4323759293704,675510.0,7.42848471052432,1.4195655571183,4.99466102748004,9093510.0,6384602,0.611914239478708,9984670.0,3.51844337335088,80.045,1.09952778043555,Canada_2005
26,Canada,2006,10.65,7.1,1.54,82.7,78.0,80.2926829268293,0.985903766968816,32312000.0,17016600.0,52.7595927857087,18148000.0,56.2674735185079,675690.0,7.43046414420834,1.40090368903194,4.97783584116584,9093510.0,6422979,0.599287482275541,9984670.0,3.55330339989729,80.122,1.08205383257025,Canada_2006
27,Canada,2007,10.9,7.0,1.5862,83.0,78.4,80.6439024390244,0.796844597283984,32570505.0,18749100.0,57.4932053568209,18236000.0,55.9198091048096,659540.0,7.25286495533628,1.3850568175102,4.96090068631365,9093510.0,6444726,0.338009314093002,9984670.0,3.58173081681331,80.213,0.910354880148743,Canada_2007
28,Canada,2008,11.2,7.1,1.6589,82.748,78.105,80.3698780487805,0.969853611087127,32887928.0,20277400.0,61.4731075542007,18282026.0,55.4239177905794,652824.0,7.17901008521462,1.35864442417899,4.9137241835111,9093510.0,6447349,0.0406916657899339,9984670.0,3.61663736005129,80.396,1.19773853599003,Canada_2008
31,Canada,2011,11.1,7.1,1.6269,83.162,78.733,80.8934878048781,1.11395972071239,34005274.0,25825400.0,75.6760779974588,18394000.0,53.8998729423458,632686.0,6.95755544338765,1.27618439422073,4.77230464364145,9093510.0,6482425,0.179337487708787,9984670.0,3.73951026611287,80.937,1.33536705317397,Canada_2011
32,Canada,2012,11.0,7.2,1.61,83.302,78.941,81.0683170731707,0.987617711325488,34342780.0,27387200.0,79.412158882078,18202000.0,52.7786745622621,625970.0,6.88370057326599,1.25115089692797,4.72512814083891,9093510.0,6485634,0.0494908307480604,9984670.0,3.77662530749952,81.115,1.20729899128077,Canada_2012
34,Sao Tome and Principe,1980,40.942,10.531,6.455,61.877,58.96,60.3829268292683,2.80727872181994,92622.0,0.0,0.0,11764932.666666668,34.04391209288585,370.0,38.5416666666667,0.0107965710090475,1.04166666666667,960.0,61956,2.25421889829228,960.0,96.48125,33.109,3.93407229629227,Sao Tome and Principe_1980
36,Sao Tome and Principe,1982,40.792,10.688,6.348,62.296,58.958,60.5862926829268,2.1236158357788,96991.0,0.0,0.0,798.0,0.822756750626347,370.0,38.5416666666667,0.010310234970255,1.04166666666667,960.0,64153,1.55838332941104,960.0,101.032291666667,33.857,3.23716955803751,Sao Tome and Principe_1982
37,Sao Tome and Principe,1983,40.58,10.79,6.271,62.441,58.929,60.6421707317073,1.84996567703443,98802.0,0.0,0.0,1222.0,1.2368170684804,370.0,38.5416666666667,0.0101212526062225,1.04166666666667,960.0,64393,0.373407618854622,960.0,102.91875,34.826,4.67317766778806,Sao Tome and Principe_1983
38,Sao Tome and Principe,1984,40.292,10.841,6.181,62.574,58.932,60.7085853658537,1.71891226293269,100515.0,0.0,0.0,1555.0,1.54703278117694,370.0,38.5416666666667,0.0099487638660896,1.04166666666667,960.0,64443,0.0776180609615775,960.0,104.703125,35.887,4.71987830510662,Sao Tome and Principe_1984
41,Sao Tome and Principe,1987,39.056,10.558,5.849,63.008,59.26,61.0882926829268,2.19193348406,106684.0,0.0,0.0,2001.0,1.87563270968468,380.0,39.5833333333333,0.0187469536200367,2.08333333333333,960.0,64918,0.399762835879612,960.0,111.129166666667,39.149,5.04292023923876,Sao Tome and Principe_1987
42,Sao Tome and Principe,1988,38.569,10.357,5.73,63.167,59.444,61.2600975609756,2.34105969143817,109211.0,0.0,0.0,2117.0,1.93844942359286,380.0,39.5833333333333,0.0183131735814158,2.08333333333333,960.0,65243,0.499382572985581,960.0,113.761458333333,40.26,5.13794851852998,Sao Tome and Principe_1988
43,Sao Tome and Principe,1989,38.08,10.147,5.613,63.325,59.631,61.4329512195122,2.42702037390147,111894.0,0.0,0.0,2240.0,2.00189465029403,380.0,39.5833333333333,0.0178740593776253,2.08333333333333,960.0,65590,0.530448455120592,960.0,116.55625,41.382,5.17662538491892,Sao Tome and Principe_1989
44,Sao Tome and Principe,1990,37.61,9.94,5.501,63.484,59.814,61.604243902439,2.43058477902162,114647.0,0.0,0.0,2200.0,1.91893377061764,420.0,43.75,0.0174448524601603,2.08333333333333,960.0,65909,0.485175743936411,960.0,119.423958333333,42.511,5.12306628477984,Sao Tome and Principe_1990
46,Sao Tome and Principe,1992,36.786,9.575,5.296,63.802,60.156,61.9345365853659,2.32299362977852,120154.0,0.0,0.0,2218.0,1.84596434575628,420.0,43.75,0.0166453051916707,2.08333333333333,960.0,66333,0.270215355342062,960.0,125.160416666667,44.793,4.91237327382869,Sao Tome and Principe_1992
47,Sao Tome and Principe,1993,36.445,9.423,5.203,63.96,60.319,62.0950975609756,2.28326995883457,122929.0,0.0,0.0,2360.0,1.91980736848099,420.0,43.75,0.0162695539701779,2.08333333333333,960.0,66672,0.5097563761969,960.0,128.051041666667,45.764,4.4266752206898,Sao Tome and Principe_1993
49,Sao Tome and Principe,1995,35.932,9.169,5.032,64.275,60.643,62.4147073170732,1.97592365022945,128135.0,0.0,0.0,2460.0,1.91985015803645,440.0,45.8333333333333,0.0234128068053225,3.125,960.0,67049,0.165687753876861,960.0,133.473958333333,47.673,4.00133527828705,Sao Tome and Principe_1995
50,Sao Tome and Principe,1996,35.79,9.068,4.956,64.428,60.801,62.5702682926829,1.73535279751857,130378.0,0.0,0.0,2499.0,1.91673441838347,450.0,46.875,0.0306800227032168,4.16666666666667,960.0,66974,-0.111921099854438,960.0,135.810416666667,48.631,3.72442435825325,Sao Tome and Principe_1996
51,Sao Tome and Principe,1997,35.745,8.98,4.887,64.574,60.951,62.7183170731707,1.48079797252226,132323.0,0.0,0.0,2596.0,1.96186603991747,450.0,46.875,0.0302290607075112,4.16666666666667,960.0,66701,-0.408453906188281,960.0,137.836458333333,49.592,3.43840546454976,Sao Tome and Principe_1997
52,Sao Tome and Principe,1998,35.797,8.9,4.826,64.712,61.096,62.8599024390244,1.28102911184606,134029.0,0.0,0.0,4300.0,3.20826089876072,460.0,47.9166666666667,0.0373053592879153,5.20833333333333,960.0,66277,-0.637701630158769,960.0,139.613541666667,50.55,3.19429740381542,Sao Tome and Principe_1998
53,Sao Tome and Principe,1999,35.935,8.82,4.773,64.847,61.236,62.9974634146341,1.20218446585593,135650.0,0.0,0.0,4295.0,3.16623663840767,460.0,47.9166666666667,0.0368595650571323,5.20833333333333,960.0,65778,-0.755749309089407,960.0,141.302083333333,51.509,3.08110171239073,Sao Tome and Principe_1999
54,Sao Tome and Principe,2000,36.143,8.735,4.727,64.984,61.378,63.1370243902439,1.27892281780296,137396.0,0.0,0.0,4526.0,3.29412792221025,470.0,48.9583333333333,0.0436693935776879,6.25,960.0,65308,-0.717089565654003,960.0,143.120833333333,52.467,3.1222598189531,Sao Tome and Principe_2000
55,Sao Tome and Principe,2001,36.408,8.639,4.687,65.139,61.534,63.2925365853659,1.46810717057548,139428.0,0.0,0.0,4614.0,3.30923487391342,490.0,51.0416666666667,0.0430329632498494,6.25,960.0,64940,-0.565077358921812,960.0,145.2375,53.424,3.27504436534925,Sao Tome and Principe_2001
57,Sao Tome and Principe,2003,37.04,8.386,4.625,65.556,61.936,63.7018536585366,1.86149385186285,144447.0,1980.0,1.37074497912729,6366.0,4.40715279652745,510.0,53.125,0.0484606810802578,7.29166666666667,960.0,64529,-0.24300596255784,960.0,150.465625,55.327,3.5936739695728,Sao Tome and Principe_2003
58,Sao Tome and Principe,2004,37.343,8.23,4.598,65.829,62.19,63.9651219512195,2.06103862216992,147455.0,4819.0,3.26811569631413,6970.0,4.72686582347157,540.0,56.25,0.0542538401546234,8.33333333333333,960.0,64512,-0.0263482150608708,960.0,153.598958333333,56.25,3.71525158877744,Sao Tome and Principe_2004
59,Sao Tome and Principe,2005,37.59,8.059,4.572,66.139,62.473,64.2612926829268,2.27098868984338,150842.0,7745.0,5.13451160817279,7050.0,4.67376460137097,500.0,52.0833333333333,0.0530356266822238,8.33333333333333,960.0,64645,0.205950969766783,960.0,157.127083333333,57.144,3.84817493898775,Sao Tome and Principe_2005
60,Sao Tome and Principe,2006,37.735,7.879,4.542,66.471,62.773,64.5769024390244,2.47052246415747,154615.0,11953.0,7.73081525078421,7112.0,4.59981243734437,490.0,51.0416666666667,0.0517414222423439,8.33333333333333,960.0,64923,0.429118959307869,960.0,161.057291666667,58.01,3.97462046314906,Sao Tome and Principe_2006
61,Sao Tome and Principe,2007,37.739,7.699,4.506,66.805,63.071,64.8924634146342,2.67451754482748,158806.0,18424.0,11.6015767666209,7593.0,4.78130549223581,490.0,51.0416666666667,0.0503759303804642,8.33333333333333,960.0,65353,0.660139337342262,960.0,165.422916666667,58.847,4.1077057203738,Sao Tome and Principe_2007
62,Sao Tome and Principe,2008,37.589,7.527,4.462,67.12,63.348,65.188,2.84566495681557,163390.0,30099.0,18.4215680274191,7654.0,4.68449721525185,495.0,51.5625,0.0520227676112369,8.85416666666667,960.0,65920,0.86385399281984,960.0,170.197916666667,59.655,4.20860022340965,Sao Tome and Principe_2008
63,Sao Tome and Principe,2009,37.284,7.372,4.411,67.401,63.592,65.4500487804878,2.93288179323542,168253.0,50551.0,30.0446351625231,7643.0,4.54256387701854,490.0,51.0416666666667,0.053490873862576,9.375,960.0,66571,0.982716168015349,960.0,175.263541666667,60.434,4.23056578901712,Sao Tome and Principe_2009
64,Sao Tome and Principe,2010,36.828,7.235,4.352,67.642,63.796,65.6720975609756,2.92091173713397,173240.0,80829.0,46.6572385130455,7694.0,4.44123758947125,490.0,51.0416666666667,0.0519510505656892,9.375,960.0,67243,1.00438765635891,960.0,180.458333333333,61.185,4.15604955854791,Sao Tome and Principe_2010
65,Sao Tome and Principe,2011,36.234,7.116,4.287,67.841,63.961,65.8536829268293,2.83857131709501,178228.0,102730.0,57.6396525798416,7804.0,4.37866104091389,485.0,50.5208333333333,0.0476917207172835,8.85416666666667,960.0,67892,0.960528345432599,960.0,185.654166666667,61.907,4.01194637764044,Sao Tome and Principe_2011
66,Sao Tome and Principe,2012,35.524,7.014,4.217,68.008,64.094,66.0032682926829,2.73892689895854,183177.0,115038.0,62.8015525966688,7960.0,4.34552372841569,487.0,50.7291666666667,0.0474950457753976,9.0625,960.0,68508,0.903231947083747,960.0,190.809375,62.6,3.85194617342899,Sao Tome and Principe_2012
67,Sao Tome and Principe,2013,34.742,6.919,4.145,68.156,64.21,66.1348780487805,2.65102051012848,188098.0,122172.0,64.951248817106,8035.0,4.27170942806409,497.0,51.7708333333333,0.0462524854065434,9.0625,960.0,69098,0.857526002457105,960.0,195.935416666667,63.265,3.70737757760662,Sao Tome and Principe_2013
68,Lao PDR,1980,42.642,16.809,6.233,49.995,47.511,48.7227073170732,1.1953311547964,3200598.0,0.0,0.0,5500.0,0.171842886860518,16050.0,6.95407279029463,0.243704457729462,3.37954939341421,230800.0,2813102,0.89543292112304,236800.0,13.8674090121317,12.107,3.39989100338086,Lao PDR_1980
70,Lao PDR,1982,42.727,16.462,6.315,50.576,48.104,49.3098536585366,1.97370389654217,3315725.0,0.0,0.0,5500.0,0.165876241244373,16090.0,6.97140381282496,0.235242669401111,3.37954939341421,230800.0,2896286,1.66166762834411,236800.0,14.366226169844,12.65,4.15534966598055,Lao PDR_1982
71,Lao PDR,1983,42.819,16.258,6.345,50.906,48.44,49.6429268292683,2.31118616043354,3393250.0,0.0,0.0,5400.0,0.159139468061593,16170.0,7.00606585788562,0.231341634126575,3.40121317157712,230800.0,2954503,1.99012206499085,236800.0,14.70212305026,12.93,4.50048330196488,Lao PDR_1983
72,Lao PDR,1984,42.926,16.026,6.363,51.271,48.816,50.0135609756098,2.56989112190733,3481583.0,0.0,0.0,5600.0,0.160846373617978,16200.0,7.01906412478336,0.225472148732344,3.40121317157712,230800.0,3021527,2.24318855351979,236800.0,15.0848483535529,13.214,4.74252840541074,Lao PDR_1984
73,Lao PDR,1985,43.031,15.762,6.369,51.677,49.237,50.427243902439,2.71159392267723,3577281.0,0.0,0.0,5800.0,0.162134313742756,16300.0,7.06239168110919,0.220838116994444,3.42287694974004,230800.0,3094205,2.37686744895865,236800.0,15.4994844020797,13.504,4.88257699668877,Lao PDR_1985
74,Lao PDR,1986,43.125,15.459,6.361,52.136,49.715,50.8959756097561,2.76823668701832,3677692.0,0.0,0.0,5961.0,0.162085351356231,16350.0,7.0840554592721,0.215352454746074,3.4315424610052,230800.0,3170023,2.4207836155275,236800.0,15.9345407279029,13.804,4.96556692373599,Lao PDR_1986
75,Lao PDR,1987,43.204,15.112,6.342,52.659,50.255,51.4276829268293,2.801914741628,3782195.0,0.0,0.0,6100.0,0.161282006876959,16380.0,7.09705372616984,0.209666608940047,3.43587521663778,230800.0,3248225,2.43698499157825,236800.0,16.3873266897747,14.118,5.05099971985547,Lao PDR_1987
76,Lao PDR,1988,43.249,14.722,6.313,53.247,50.855,52.0218292682927,2.84490423926159,3891340.0,0.0,0.0,6231.0,0.160124789918126,16400.0,7.10571923743501,0.203785842409042,3.43587521663778,230800.0,3329469,2.47041385187265,236800.0,16.8602253032929,14.439,5.09326285726386,Lao PDR_1988
77,Lao PDR,1989,43.233,14.294,6.274,53.897,51.507,52.6728536585366,2.87602958990983,4004881.0,0.0,0.0,6468.0,0.161502926054482,16500.0,7.14904679376083,0.198507770892568,3.44454072790295,230800.0,3413520,2.49311851300636,236800.0,17.3521707105719,14.766,5.11543738497411,Lao PDR_1989
79,Lao PDR,1991,42.867,13.342,6.152,55.356,52.942,54.1195609756098,2.91114759783208,4244520.0,0.0,0.0,6910.0,0.162798149142895,16600.0,7.19237435008666,0.188242722380858,3.46187175043328,230800.0,3589293,2.51105677299608,236800.0,18.3904679376083,15.437,5.13168300997618,Lao PDR_1991
81,Lao PDR,1993,41.737,12.288,5.934,56.955,54.498,55.6965365853659,2.88451122228734,4497827.0,290.0,0.0064475578985141,8510.0,0.189202474883983,16640.0,7.20970537261698,0.177641336583199,3.46187175043328,230800.0,3772193,2.46687805836964,236800.0,19.4879852686308,16.133,5.08412330082787,Lao PDR_1993
82,Lao PDR,1994,40.847,11.745,5.782,57.77,55.293,56.5012926829268,2.80681245415273,4625861.0,340.0,0.0073499830626125,8598.0,0.185868101095126,16650.0,7.21403812824957,0.172724601971395,3.46187175043328,230800.0,3863057,2.38023089945812,236800.0,20.0427253032929,16.49,4.99553620749916,Lao PDR_1994
84,Lao PDR,1996,38.467,10.677,5.398,59.364,56.86,58.0814634146342,2.50111399477599,4871472.0,1539.0,0.031592093724443,16602.0,0.340800480840288,17000.0,7.36568457538995,0.169969159219226,3.58752166377816,230800.0,4024908,1.86890109487116,236800.0,21.1068977469671,17.378,5.56282738937674,Lao PDR_1996
87,Lao PDR,1999,33.844,9.232,4.669,61.581,59.072,60.2959024390244,2.02333225934121,5200898.0,6453.0,0.124074727095205,28472.0,0.547443922184207,17800.0,7.71230502599653,0.165740608641046,3.73483535528596,230800.0,4158690,0.880584176654734,236800.0,22.5342201039861,20.039,6.7178456590436,Lao PDR_1999
88,Lao PDR,2000,32.3,8.812,4.42,62.269,59.763,60.9854390243903,1.85256450535952,5298146.0,12078.0,0.227966537728481,35107.0,0.662628021198359,18080.0,7.83362218370884,0.165529602241992,3.7998266897747,230800.0,4186012,0.654836988382743,236800.0,22.9555719237435,20.991,6.49391526321692,Lao PDR_2000
90,Lao PDR,2002,29.816,8.105,3.991,63.551,61.05,62.27,1.50831016312283,5470169.0,29545.0,0.540111283581915,52625.0,0.962036090658259,19010.0,8.236568457539,0.177325417185465,4.20277296360485,230800.0,4212413,0.197587877095709,236800.0,23.7009055459272,22.993,6.02760954719543,Lao PDR_2002
91,Lao PDR,2003,29.024,7.82,3.829,64.146,61.647,62.8660243902439,1.3631292023881,5545245.0,55160.0,0.994726112191616,61910.0,1.11645202331006,19090.0,8.27123050259965,0.171317948981515,4.11611785095321,230800.0,4211946,-0.0110868969491571,236800.0,24.026191507799,24.044,5.83271413189564,Lao PDR_2003
92,Lao PDR,2004,28.544,7.575,3.706,64.714,62.217,63.4350487804878,1.32251880439958,5619069.0,112275.0,1.99810680381394,69760.0,1.24148680146124,19390.0,8.40121317157712,0.174406116030965,4.24610051993068,230800.0,4207222,-0.112220126638603,236800.0,24.3460528596187,25.126,5.7242454139259,Lao PDR_2004
93,Lao PDR,2005,28.354,7.365,3.619,65.258,62.76,63.9785365853659,1.41443814106314,5699112.0,204191.0,3.58285641692952,75000.0,1.31599449177346,19590.0,8.48786828422877,0.175465932236461,4.33275563258232,230800.0,4203551,-0.0872928144204956,236800.0,24.6928596187175,26.242,5.76026110302805,Lao PDR_2005
94,Lao PDR,2006,28.383,7.182,3.562,65.783,63.279,64.5004634146342,1.59334838061699,5790646.0,657528.0,11.3550025333961,90806.0,1.56814973666151,20090.0,8.70450606585788,0.181326919310902,4.54939341421144,230800.0,4204820,0.0301842059451197,236800.0,25.0894540727903,27.386,5.86040199421256,Lao PDR_2006
96,Lao PDR,2008,28.653,6.866,3.481,66.79,64.255,65.4915853658537,1.97077417895404,6013278.0,1478409.0,24.5857417534995,94828.0,1.57697681697071,20460.0,8.86481802426343,0.177939553102318,4.63604852686308,230800.0,4228056,0.347049154082436,236800.0,26.0540641247834,29.688,5.9248919014878,Lao PDR_2008
97,Lao PDR,2009,28.671,6.715,3.432,67.28,64.72,65.9687804878049,2.0712525489555,6139127.0,2022133.0,32.938445482558,127799.0,2.08171292107168,22770.0,9.86568457538995,0.211756492413335,5.63258232235702,230800.0,4245882,0.420725907951427,236800.0,26.5993370883882,30.839,5.87495108007722,Lao PDR_2009
98,Lao PDR,2010,28.532,6.563,3.368,67.764,65.172,66.4363902439024,2.07696695442464,6267968.0,3234642.0,51.6059111980151,100228.0,1.5990509204897,23460.0,10.1646447140381,0.216976219406353,5.89254766031196,230800.0,4263158,0.406062816445262,236800.0,27.1575736568458,31.985,5.725700512896,Lao PDR_2010
99,Lao PDR,2011,28.226,6.407,3.29,68.245,65.616,66.8984390243902,2.01757029860699,6395713.0,4003395.0,62.594975728273,103102.0,1.61204857065975,23780.0,10.3032928942808,0.218896626537182,6.06585788561525,230800.0,4277261,0.33026512678226,236800.0,27.71106152513,33.123,5.51363401111206,Lao PDR_2011
100,Lao PDR,2012,27.781,6.248,3.2,68.722,66.053,67.3549512195122,1.94479672056294,6521314.0,5480851.0,84.0451939593769,107643.0,1.65063359930223,23780.0,10.3032928942808,0.214680660983354,6.06585788561525,230800.0,4287634,0.242221418280948,236800.0,28.255259965338,34.252,5.29648162763495,Lao PDR_2012
101,Lao PDR,2013,27.272,6.092,3.108,69.195,66.483,67.8059268292683,1.89132495227468,6645827.0,4300000.0,64.702256017197,450000.0,6.77116632738108,24690.0,10.6975736568458,0.218182026104501,6.28249566724437,230800.0,4295331,0.179355317499959,236800.0,28.7947443674177,35.368,5.09759201515907,Lao PDR_2013
102,Arab World,1980,41.5973188807976,11.6191856334524,6.35641268986002,59.4676882474432,56.3480269064894,57.8695923196315,3.27242922343376,160508834.0,0.0,0.0,1779248.0,1.3291113076338,4307380.0,31.6161394997986,0.309316308409542,3.65179336950531,13623991.0,89366623,2.33124351151946,13781751.0,11.7813373482117,44.3229238427213,4.47953771488352,Arab World_1980
103,Arab World,1981,41.2947925233141,11.237866851643,6.29555342742729,60.2167014559626,56.8423999259996,58.4883194621559,3.20509025690137,165653287.0,0.0,0.0,2313218.0,1.482461346445555,4318130.0,31.6950444256753,0.299154945232086,3.64504057584888,13623991.0,91337252,2.20510626209966,13781751.0,12.1589398436919,44.8623971903497,4.46123891201526,Arab World_1981
