Development Status,Country,Year_x,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,Data.Infrastructure.Telephone Lines,Data.Infrastructure.Telephone Lines per 100 People,Data.Rural Development.Agricultural Land,Data.Rural Development.Agricultural Land Percent,Data.Rural Development.Arable Land,Data.Rural Development.Arable Land Percent,Data.Rural Development.Land Area,Data.Rural Development.Rural Population,Data.Rural Development.Rural Population Growth,Data.Rural Development.Surface Area,Data.Urban Development.Population Density,Data.Urban Development.Urban Population Percent,Data.Urban Development.Urban Population Percent Growth,Country_Year,Year_y,Country.Name,Country.Code,Country.GDP,Country.Population,Emissions.Production.CH4,Emissions.Production.N2O,Emissions.Production.CO2.Cement,Emissions.Production.CO2.Coal,Emissions.Production.CO2.Gas,Emissions.Production.CO2.Oil,Emissions.Production.CO2.Flaring,Emissions.Production.CO2.Other,Emissions.Production.CO2.Total,Emissions.Global Share.CO2.Cement,Emissions.Global Share.CO2.Coal,Emissions.Global Share.CO2.Gas,Emissions.Global Share.CO2.Oil,Emissions.Global Share.CO2.Flaring,Emissions.Global Share.CO2.Total
Emerging and Developing Economies,Argentina,1997,20.176,7.927,2.717,76.61,69.338,72.88531707,1.229456224,35264070,667020,1.891500329,6262637,17.75925751,1281420,46.8237177,0.771663622,9.943398777,2736690,4102622,-0.491936048,2780400,12.8856648,88.366,1.458313067,Argentina_1997,1997,Argentina,ARG,5.31526E+11,35657436,113.77,38.37,3.169,2.777,61.504,66.868,3.323,0,137.641,0.48,0.03,1.39,0.69,1.37,0.57
Emerging and Developing Economies,Argentina,1999,19.465,7.854,2.596,77.076,69.743,73.32007317,1.165927694,36109342,2670862,7.396595596,7095464,19.6499399,1283300,46.89241383,0.759498747,10.02123003,2736690,4059051,-0.553913095,2780400,13.19453135,88.759,1.385864652,Argentina_1999,1999,Argentina,ARG,5.38271E+11,36467220,117.5,38.5,3.29,2.154,67.621,72.725,1.495,0,147.285,0.48,0.02,1.46,0.72,0.67,0.6
Emerging and Developing Economies,Argentina,2000,19.103,7.83,2.535,77.309,69.939,73.53412195,1.115941736,36514558,3848869,10.54064245,7223168,19.78161149,1284120,46.92237703,0.754000637,10.06032835,2736690,4034128,-0.615903313,2780400,13.34259927,88.952,1.333149123,Argentina_2000,2000,Argentina,ARG,5.36481E+11,36870796,117.51,39.91,2.771,1.656,69.438,67.434,1.059,0,142.358,0.39,0.02,1.47,0.66,0.39,0.56
Emerging and Developing Economies,Argentina,2001,18.757,7.813,2.477,77.54,70.132,73.74565854,1.058363374,36903067,6487950,17.58105905,7894205,21.39173148,1285100,46.95818671,0.748989237,10.09979208,2736690,4006935,-0.676355941,2780400,13.48456237,89.142,1.271732835,Argentina_2001,2001,Argentina,ARG,5.15221E+11,37275644,116.24,39.25,2.481,1.29,64.809,64.336,1.088,2.84E-14,134.004,0.33,0.01,1.36,0.62,0.4,0.53
Emerging and Developing Economies,Argentina,2002,18.445,7.801,2.424,77.768,70.321,73.95368293,0.998422507,37273361,6741791,18.08742442,8131435,21.8156742,1286060,46.99326559,0.744392222,10.13852501,2736690,3977440,-0.738821365,2780400,13.61986962,89.329,1.207981452,Argentina_2002,2002,Argentina,ARG,4.61203E+11,37681744,119.5,39.8,1.729,1.099,62.62,57.497,1.447,0,124.392,0.22,0.01,1.27,0.55,0.5,0.48
Emerging and Developing Economies,Argentina,2003,18.177,7.792,2.379,77.99,70.51,74.15878049,0.945747278,37627545,6566740,17.4519491,7708568,20.48650264,1287100,47.0312677,0.740468186,10.18091198,2736690,3943743,-0.850812392,2780400,13.7492902,89.519,1.1582172,Argentina_2003,2003,Argentina,ARG,5.04301E+11,38087868,127.2,43.79,2.28,1.99,69.07,59.357,1.935,0,134.631,0.27,0.02,1.36,0.56,0.67,0.49
Emerging and Developing Economies,Argentina,2005,17.788,7.774,2.31,78.412,70.887,74.55773171,0.887188811,38308779,13512383,35.27228837,8760566,22.86829867,1343450,49.09032444,0.803340665,11.24533652,2736690,3869570,-0.966609791,2780400,13.99821646,89.899,1.097644514,Argentina_2005,2005,Argentina,ARG,6.04065E+11,38892924,128.52,43.67,3.241,3.268,81.967,71.8,1.158,0,161.434,0.34,0.03,1.52,0.65,0.35,0.55
Emerging and Developing Economies,Argentina,2007,17.564,7.753,2.268,78.796,71.27,74.94121951,0.878633059,38988923,31510390,80.81882641,9459794,24.2627733,1411040,51.56009632,0.893946211,12.7358232,2736690,3795182,-0.973825733,2780400,14.24674442,90.266,1.080461652,Argentina_2007,2007,Argentina,ARG,7.18085E+11,39684304,131.03,47.4,3.998,3.66,87.178,77.952,1.458,2.84E-14,174.246,0.36,0.03,1.53,0.69,0.42,0.55
Emerging and Developing Economies,Argentina,2010,17.301,7.732,2.228,79.305,71.851,75.48709756,0.87217417,40023641,52482780,131.1294492,9768135,24.405913,1432970,52.36142932,0.844425923,12.3495902,2736690,3684176,-0.989798896,2780400,14.62483548,90.795,1.0628953,Argentina_2010,2010,Argentina,ARG,7.84986E+11,40895752,116.14,41.67,4.178,3.99,86.928,90.145,1.491,0.001,186.733,0.33,0.03,1.4,0.8,0.41,0.56
Emerging and Developing Economies,Argentina,2012,17.057,7.724,2.201,79.614,72.243,75.83860976,0.87423751,40728738,60722729,149.0906224,9722525,23.87141237,1475480,53.91476565,0.934180676,13.90292653,2736690,3611417,-0.991628807,2780400,14.88248139,91.133,1.057653731,Argentina_2012,2012,Argentina,ARG,8.27405E+11,41755188,118.86,42.24,4.184,5.009,95.381,85.587,1.554,0,191.715,0.3,0.03,1.47,0.74,0.43,0.55
Emerging and Developing Economies,Argentina,2013,16.911,7.72,2.188,79.764,72.44,76.01268293,0.87560564,41086927,64327647,156.564756,9455639,23.01374109,1487910,54.36896397,0.956289576,14.35712485,2736690,3576617,-0.968283453,2780400,15.01336542,91.295,1.053209455,Argentina_2013,2013,Argentina,ARG,8.47305E+11,42196036,120.81,44.01,4.581,4.84,91.338,87.487,1.887,2.84E-14,190.133,0.32,0.03,1.39,0.76,0.51,0.54
Emerging and Developing Economies,Bolivia,1992,36.372,10.217,4.866,61.07,57.619,59.30241463,2.366375843,6956736,295,0.004240494,204059,2.933257781,357960,33.04347826,0.303303158,1.947752239,1083300,3020684,0.084950615,1098580,6.421800055,56.579,4.153227502,Bolivia_1992,1992,Bolivia,BOL,24762218496,7160917,19.75,7.69,0.271,0,1.821,3.408,1.121,0,6.621,0.05,0,0.05,0.04,0.47,0.03
Emerging and Developing Economies,Bolivia,1993,36.009,9.967,4.81,61.579,58.092,59.79297561,2.365986006,7123294,1551,0.021773635,208034,2.920474713,358310,33.07578695,0.301826655,1.984676452,1083300,3023981,0.109087942,1098580,6.575550632,57.548,4.064120821,Bolivia_1993,1993,Bolivia,BOL,25891375104,7312857,19.25,7.82,0.295,0,1.88,3.697,1.92,0,7.792,0.05,0,0.05,0.04,0.82,0.03
Emerging and Developing Economies,Bolivia,1994,35.554,9.733,4.742,62.067,58.523,60.25178049,2.350975947,7292745,2659,0.036460894,231739,3.177664926,362130,33.42841318,0.301669673,2.030831718,1083300,3050774,0.882115369,1098580,6.731971753,58.167,3.420862103,Bolivia_1994,1994,Bolivia,BOL,27164993536,7466792,19,7.98,0.346,0,2.207,4.175,1.866,0,8.594,0.06,0,0.05,0.05,0.79,0.04
Emerging and Developing Economies,Bolivia,1995,35.012,9.513,4.663,62.535,58.919,60.68290244,2.318103208,7463773,4056,0.054342489,242823,3.25335457,363510,33.55580172,0.314854163,2.169297517,1083300,3076194,0.829778966,1098580,6.889848611,58.785,3.374957461,Bolivia_1995,1995,Bolivia,BOL,28507105280,7622334,18.39,8.12,0.402,0,2.451,5.023,1.924,0,9.8,0.06,0,0.06,0.05,0.82,0.04
Emerging and Developing Economies,Bolivia,1996,34.403,9.307,4.575,62.986,59.286,61.09087805,2.272930034,7635362,7229,0.094677895,246881,3.233389589,366000,33.78565494,0.340520855,2.400073848,1083300,3099957,0.769512185,1098580,7.048243331,59.4,3.313679065,Bolivia_1996,1996,Bolivia,BOL,29832024064,7779268,20.46,7.2,0.42,0,3.1,5.474,1.092,0,10.086,0.07,0,0.07,0.06,0.46,0.04
Emerging and Developing Economies,Bolivia,1998,33.126,8.928,4.39,63.843,59.966,61.85721951,2.173830906,7978521,118433,1.484397923,384530,4.819564929,368740,34.0385858,0.359966465,2.651158497,1083300,3161090,0.947152525,1098580,7.365015231,60.38,2.987004143,Bolivia_1998,1998,Bolivia,BOL,33052112896,8096761,21.8,7.84,0.525,0,3.199,6.595,0.927,0,11.246,0.08,0,0.07,0.07,0.4,0.05
Emerging and Developing Economies,Bolivia,1999,32.524,8.755,4.302,64.254,60.295,62.22621951,2.129112864,8150214,239272,2.935775674,452381,5.550541372,369820,34.13828118,0.364898394,2.74531524,1083300,3189505,0.894882751,1098580,7.523505954,60.866,2.930787565,Bolivia_1999,1999,Bolivia,BOL,33277726720,8257066,26.23,9.54,0.539,0,3.448,6.035,0.7,0,10.722,0.08,0,0.07,0.06,0.31,0.04
Emerging and Developing Economies,Bolivia,2000,31.966,8.592,4.219,64.657,60.625,62.59182927,2.090745146,8322408,420344,5.050749735,502568,6.038733021,370690,34.21859134,0.368883621,2.833933352,1083300,3216527,0.843647371,1098580,7.682459153,61.351,2.884433856,Bolivia_2000,2000,Bolivia,BOL,34202658816,8418270,19.65,6.81,0.481,0,2.711,4.946,0.502,0.001,8.641,0.07,0,0.06,0.05,0.19,0.03
Emerging and Developing Economies,Bolivia,2001,31.445,8.436,4.14,65.05,60.959,62.95460976,2.05580197,8495271,582620,6.858168503,510755,6.012227273,371430,34.28690114,0.370088253,2.902243146,1083300,3242305,0.798229057,1098580,7.842029909,61.834,2.839985683,Bolivia_2001,2001,Bolivia,BOL,34862903296,8580244,18.47,7.04,0.437,0,2.433,5.078,0.344,0,8.292,0.06,0,0.05,0.05,0.13,0.03
Emerging and Developing Economies,Bolivia,2002,30.938,8.287,4.062,65.435,61.297,63.31553659,2.025140146,8669066,779917,8.996551647,524391,6.048990745,371560,34.2989015,0.363360943,2.907781778,1083300,3267111,0.762161155,1098580,8.002460999,62.313,2.796805563,Bolivia_2002,2002,Bolivia,BOL,35825102848,8742822,21.55,9.58,0.444,0,2.557,4.932,0.451,0,8.384,0.06,0,0.05,0.05,0.16,0.03
Emerging and Developing Economies,Bolivia,2003,30.42,8.146,3.982,65.809,61.636,63.67160976,1.990470695,8843350,1023333,11.57177993,590638,6.67889431,371110,34.25736176,0.35054589,2.861626512,1083300,3290522,0.714010664,1098580,8.163343487,62.791,2.754642244,Bolivia_2003,2003,Bolivia,BOL,36884889600,8905820,20.3,7.6,0.495,0,3.037,6.057,0.396,0,9.985,0.06,0,0.06,0.06,0.14,0.04
Emerging and Developing Economies,Bolivia,2005,29.306,7.884,3.809,66.526,62.304,64.3635122,1.876777506,9187610,1800789,19.60018982,625428,6.807298089,366170,33.80134773,0.389546356,3.303793963,1083300,3332162,0.594622712,1098580,8.481131727,63.732,2.613820911,Bolivia_2005,2005,Bolivia,BOL,40332390400,9232301,24.91,10.75,0.613,0,3.701,6.614,0.249,0,11.176,0.06,0,0.07,0.06,0.08,0.04
Emerging and Developing Economies,Bolivia,2006,28.731,7.764,3.72,66.873,62.632,64.70078049,1.802401563,9354709,2421402,25.88431131,646291,6.908723724,369620,34.11981907,0.406853917,3.513338872,1083300,3349547,0.520377024,1098580,8.635381704,64.194,2.524692277,Bolivia_2006,2006,Bolivia,BOL,42381266944,9395449,25.56,11.01,0.691,0,4.204,6.484,0.169,0,11.548,0.07,0,0.08,0.06,0.05,0.04
Emerging and Developing Economies,Bolivia,2007,28.174,7.652,3.633,67.213,62.957,65.03309756,1.724132402,9517395,2876143,30.21985533,666553,7.003523548,366980,33.87611927,0.36680205,3.222560694,1083300,3364209,0.436775579,1098580,8.785558017,64.652,2.435056377,Bolivia_2007,2007,Bolivia,BOL,44428664832,9558438,27.87,12.91,0.722,0,4.617,7.178,0.147,0,12.663,0.06,0,0.08,0.06,0.04,0.04
Emerging and Developing Economies,Bolivia,2009,27.204,7.454,3.477,67.882,63.594,65.68570732,1.616001582,9834098,5038600,51.23601575,788972,8.022820192,368190,33.98781501,0.366073228,3.323179175,1083300,3387847,0.329689976,1098580,9.077908243,65.55,2.298718408,Bolivia_2009,2009,Bolivia,BOL,48987066368,9884790,24.12,8.49,0.911,0,5.511,7.669,0.139,0,14.229,0.08,0,0.1,0.07,0.04,0.05
Emerging and Developing Economies,Bolivia,2010,26.812,7.368,3.413,68.212,63.904,66.00546341,1.606974113,9993406,6464390,64.68655431,804217,8.047476506,369540,34.11243423,0.373746448,3.447798394,1083300,3398657,0.318573721,1098580,9.224966307,65.991,2.27750048,Bolivia_2010,2010,Bolivia,BOL,51147223040,10048597,34.3,18.93,0.953,0,6.145,8.156,0.172,0,15.426,0.08,0,0.1,0.07,0.05,0.05
Emerging and Developing Economies,Bolivia,2011,26.482,7.289,3.357,68.537,64.208,66.31970732,1.619836344,10156601,7179293,70.68598048,851203,8.380786052,369650,34.12258839,0.368824177,3.457952552,1083300,3409977,0.332519282,1098580,9.37561248,66.426,2.276850531,Bolivia_2011,2011,Bolivia,BOL,53942697984,10212951,27.4,10.46,1.043,0.004,6.762,8.953,0.231,0,16.992,0.08,0,0.11,0.08,0.07,0.05
Emerging and Developing Economies,Saudi Arabia,1993,33.903,4.849,5.522,71.808,68.195,69.95743902,3.080619903,17263613,15828,0.091684168,1568370,9.08483062,1237460,57.56457908,0.211427353,1.697919235,2149690,3823718,0.284735579,2149690,8.030745363,77.851,3.890558475,Saudi Arabia_1993,1993,Saudi Arabia,SAU,3.18108E+11,17763296,79.28,5.5,7.398,0,119.721,212.794,0.729,0,340.642,1.33,0,2.94,2.31,0.31,1.49
Emerging and Developing Economies,Saudi Arabia,1996,31.508,4.515,4.989,72.936,69.239,71.04241463,2.014693506,18567343,16008,0.08621589,1719412,9.260409527,1737850,80.84188883,0.196850998,1.700245152,2149690,3960414,0.891164326,2149690,8.637218855,78.67,2.32150674,Saudi Arabia_1996,1996,Saudi Arabia,SAU,3.81902E+11,19033844,77.81,5.04,7.925,0,79.219,169.343,1.788,0,258.275,1.24,0,1.8,1.76,0.75,1.07
Emerging and Developing Economies,Saudi Arabia,1997,30.717,4.414,4.795,73.264,69.585,71.37963415,1.502109202,18848350,190736,1.011950648,1796041,9.52890306,1735000,80.70931158,0.178317996,1.563481246,2149690,3975117,0.370561638,2149690,8.767938633,78.91,1.806714929,Saudi Arabia_1997,1997,Saudi Arabia,SAU,4.04885E+11,19407138,80.07,5.29,7.417,0,82.48,124.004,1.905,0.001,215.807,1.13,0,1.87,1.27,0.78,0.89
Emerging and Developing Economies,Saudi Arabia,1998,29.883,4.315,4.594,73.575,69.925,71.7054878,1.121111634,19060850,332068,1.742146861,1877049,9.847666814,1737850,80.84188883,0.190914886,1.692802218,2149690,3974759,-0.00900643,2149690,8.866790095,79.147,1.421003904,Saudi Arabia_1998,1998,Saudi Arabia,SAU,4.36679E+11,19783300,80.95,5.46,7.596,0,83.902,114.914,0.828,0,207.24,1.16,0,1.87,1.17,0.36,0.86
Emerging and Developing Economies,Saudi Arabia,1999,28.997,4.218,4.39,73.875,70.251,72.01880488,1.158557042,19282965,627321,3.253239323,2167037,11.2380902,1737850,80.84188883,0.188612073,1.691871851,2149690,3975569,0.020376518,2149690,8.970114296,79.383,1.45629168,Saudi Arabia_1999,1999,Saudi Arabia,SAU,4.40715E+11,20194532,77.77,5.48,7.842,0,82.403,135.143,0.597,0.001,225.986,1.14,0,1.78,1.34,0.27,0.92
Emerging and Developing Economies,Saudi Arabia,2000,28.065,4.122,4.187,74.166,70.565,72.32158537,1.736265998,19620692,836628,4.264008629,2706182,13.79249009,1737850,80.84188883,0.183173968,1.671868967,2149690,3999482,0.599697022,2149690,9.127219273,79.616,2.029349591,Saudi Arabia_2000,2000,Saudi Arabia,SAU,4.88694E+11,20663840,82.58,5.72,8.696,0,88.183,198.371,1.114,0,296.364,1.21,0,1.86,1.93,0.41,1.17
Emerging and Developing Economies,Saudi Arabia,2001,27.112,4.026,3.99,74.452,70.865,72.6147561,2.63507445,20144584,1375881,6.830029352,2964730,14.71725601,1737850,80.84188883,0.178310954,1.6709386,2149690,4059537,1.490407497,2149690,9.37092511,79.848,2.926047646,Saudi Arabia_2001,2001,Saudi Arabia,SAU,5.07467E+11,21202646,80.98,5.87,9.887,0,81.253,205.004,0.443,0.001,296.588,1.32,0,1.7,1.98,0.16,1.17
Emerging and Developing Economies,Saudi Arabia,2002,26.174,3.928,3.804,74.731,71.151,72.89734146,3.641140896,20891594,2528640,12.10362407,3232925,15.47476464,1737910,80.84467993,0.17231811,1.674660067,2149690,4162232,2.498254115,2149690,9.718421726,80.077,3.927529652,Saudi Arabia_2002,2002,Saudi Arabia,SAU,5.18914E+11,21805322,80.47,6.03,11.162,0,94.938,219.463,0.136,0,325.698,1.42,0,1.93,2.12,0.05,1.25
Emerging and Developing Economies,Saudi Arabia,2004,24.487,3.738,3.482,75.268,71.688,73.43434146,4.598716838,22852333,7238224,31.67389518,3502629,15.3272272,1737980,80.84793621,0.15753315,1.674660067,2149690,4449349,3.444630508,2149690,10.63052487,80.53,4.879754887,Saudi Arabia_2004,2004,Saudi Arabia,SAU,6.91928E+11,23132686,89.5,6.46,11.722,0,119.244,263.194,0.425,0,394.585,1.29,0,2.26,2.39,0.14,1.38
Emerging and Developing Economies,Saudi Arabia,2006,23.158,3.566,3.234,75.776,72.188,73.9382439,3.506843204,24690067,14164184,57.36794477,3844000,15.56901405,1737170,80.81025636,0.141757412,1.628141732,2149690,4696298,2.330897967,2149690,11.48540813,80.979,3.785075887,Saudi Arabia_2006,2006,Saudi Arabia,SAU,8.35772E+11,24498312,94.22,6.5,12.391,0,135,283.766,0.136,0,431.292,1.18,0,2.45,2.53,0.04,1.41
Emerging and Developing Economies,Saudi Arabia,2010,21.224,3.326,2.898,76.718,73.089,74.8592439,1.617773784,26796375,44864355,167.4269561,4171000,15.56553825,1734350,80.67907466,0.119269864,1.486725993,2149690,4858987,0.422729139,2149690,12.46522754,81.867,1.884411394,Saudi Arabia_2010,2010,Saudi Arabia,SAU,1.15944E+12,27421468,91.82,6.54,20.991,0,137.078,359.647,0,0,517.716,1.68,0,2.21,3.18,0,1.55
Emerging and Developing Economies,Saudi Arabia,2011,20.774,3.292,2.829,76.94,73.3,75.07560976,1.70946364,27258387,51564375,189.1688419,4165750,15.28245233,1733550,80.64185999,0.114093325,1.446720225,2149690,4883613,0.505533481,2149690,12.68014784,82.084,1.974176775,Saudi Arabia_2011,2011,Saudi Arabia,SAU,1.35553E+12,28267592,100.45,7.02,22.332,0,139.617,335.71,0,0,497.659,1.66,0,2.19,2.96,0,1.44
Advanced Economy,Spain,1993,10.2,8.5,1.32,81.19,73.81,77.41,0.329961303,39067745,180296,0.461351559,13792156,35.29214552,302790,60.62590101,0.389093356,30.43608842,499440,9528623,-0.005677469,505990,78.22309987,75.61,0.438471193,Spain_1993,1993,Spain,ESP,7.9927E+11,39533728,34.23,20.39,9.914,82.449,14.172,130.039,1.838,2.797,241.209,1.78,0.97,0.35,1.41,0.79,1.06
Advanced Economy,Spain,1995,9.4,8.6,1.2,81.62,74.36,77.90146341,0.269014245,39294967,411930,1.047842335,14685406,37.35583742,301830,60.43368573,0.376791257,29.64520263,499440,9519599,-0.068886733,505990,78.67805342,75.774,0.377287204,Spain_1995,1995,Spain,ESP,8.65579E+11,39787416,35.03,20.7,12.365,85.879,18.878,145.223,1.863,3.25,267.458,1.97,0.97,0.45,1.56,0.79,1.14
Advanced Economy,Spain,1997,9.2,8.9,1.16,81.88,74.54,78.1204878,0.231202196,39478186,2997645,7.586339439,15412785,39.0061594,301390,60.34558706,0.366024923,28.93240429,499440,9499241,-0.109001916,505990,79.04490229,75.938,0.339242465,Spain_1997,1997,Spain,ESP,9.37387E+11,40035284,37.66,22.49,12.752,75.331,27.483,146.622,1.815,3.417,267.42,1.94,0.84,0.62,1.5,0.75,1.1
