Country_Year,Data.Rural Development.Agricultural Land,Data.Rural Development.Agricultural Land Percent,Data.Rural Development.Arable Land,Data.Rural Development.Arable Land Percent,Data.Rural Development.Land Area,Data.Rural Development.Rural Population,Data.Rural Development.Rural Population Growth,Data.Rural Development.Surface Area,Emissions.Production.CH4,Emissions.Production.N2O,Emissions.Production.CO2.Cement,Emissions.Production.CO2.Coal,Emissions.Production.CO2.Gas,Emissions.Production.CO2.Oil,Emissions.Production.CO2.Flaring,Emissions.Production.CO2.Other,Emissions.Production.CO2.Total,Emissions.Global Share.CO2.Cement,Emissions.Global Share.CO2.Coal,Emissions.Global Share.CO2.Gas,Emissions.Global Share.CO2.Oil,Emissions.Global Share.CO2.Flaring,Emissions.Global Share.CO2.Total
Saudi Arabia_1994,1737850.0,80.8418888304825,0.20677892494781,1.70815326861082,2149690.0,3873751,1.30000405675761,2149690.0,75.64,5.31,7.246,0.0,124.521,195.159,1.213,0.0,328.139,1.22,0.0,3.03,2.11,0.51,1.43
Saudi Arabia_1995,1737850.0,80.8418888304825,0.201516611711671,1.70582735185073,2149690.0,3925277,1.32136337250276,2149690.0,76.58,4.84,7.612,0.0,75.896,178.451,0.462,0.0,262.421,1.21,0.0,1.8,1.91,0.2,1.12
Saudi Arabia_1999,1737850.0,80.8418888304825,0.18861207288402,1.69187185129019,2149690.0,3975569,0.0203765178695136,2149690.0,77.77,5.48,7.842,0.0,82.403,135.143,0.597,0.001,225.986,1.14,0.0,1.78,1.34,0.27,0.92
Saudi Arabia_2000,1737850.0,80.8418888304825,0.183173967564447,1.6718689671534,2149690.0,3999482,0.599697021787676,2149690.0,82.58,5.72,8.696,0.0,88.183,198.371,1.114,0.0,296.364,1.21,0.0,1.86,1.93,0.41,1.17
Saudi Arabia_2003,1737930.0,80.8456102972987,0.164946813587237,1.67466006726551,2149690.0,4298695,3.22600194160936,2149690.0,88.62,6.21,11.545,0.0,97.902,216.839,0.231,0.0,326.517,1.36,0.0,1.92,2.03,0.08,1.19
Saudi Arabia_2005,1737090.0,80.8065348957292,0.146816816364588,1.62814173206369,2149690.0,4588098,3.07077657671691,2149690.0,94.14,6.34,11.527,0.0,127.254,256.689,0.385,0.0,395.855,1.2,0.0,2.36,2.31,0.12,1.34
Saudi Arabia_2006,1737170.0,80.8102563625453,0.141757411998922,1.62814173206369,2149690.0,4696298,2.33089796660076,2149690.0,94.22,6.5,12.391,0.0,135.0,283.766,0.136,0.0,431.292,1.18,0.0,2.45,2.53,0.04,1.41
Saudi Arabia_2007,1736740.0,80.7902534784085,0.135977010189526,1.60488256446278,2149690.0,4768909,1.5343018790813,2149690.0,92.33,6.84,14.179,0.0,113.478,258.466,0.385,0.0,386.507,1.26,0.0,1.99,2.3,0.11,1.23
Saudi Arabia_2008,1736750.0,80.7907186617605,0.132969979808319,1.60302183105471,2149690.0,4813309,0.926723181656093,2149690.0,95.59,6.35,18.37,0.0,125.151,288.815,0.0,0.0,432.336,1.61,0.0,2.13,2.58,0.0,1.35
Saudi Arabia_2009,1735720.0,80.7428047765027,0.126638650662333,1.55324721238876,2149690.0,4838490,0.521789919836857,2149690.0,88.59,6.24,20.185,0.0,119.593,326.067,0.0,0.0,465.844,1.72,0.0,2.08,2.96,0.0,1.47
Saudi Arabia_2012,1733550.0,80.6418599891147,0.112024726991058,1.4467202247766,2149690.0,4914381,0.628048989125074,2149690.0,103.31,7.28,25.374,0.0,151.587,386.219,0.0,0.0,563.18,1.84,0.0,2.33,3.36,0.0,1.61
Saudi Arabia_2013,1733900.0,80.6581414064353,0.111708717398332,1.46997939237751,2149690.0,4947546,0.672589140547587,2149690.0,102.67,7.83,28.223,0.0,153.199,359.383,0.0,0.0,540.805,1.96,0.0,2.34,3.1,0.0,1.53
Spain_1993,302790.0,60.6259010091302,0.389093355656949,30.4360884190293,499440.0,9528623,-0.0056774692690717,505990.0,34.23,20.39,9.914,82.449,14.172,130.039,1.838,2.797,241.209,1.78,0.97,0.35,1.41,0.79,1.06
Spain_1994,300330.0,60.1333493512734,0.382297253849255,29.9975973089861,499440.0,9526159,-0.0258622745065667,505990.0,34.65,21.0,11.499,82.941,15.21,138.902,2.089,3.047,253.688,1.94,0.97,0.37,1.5,0.88,1.1
Spain_1995,301830.0,60.4336857280154,0.37679125675306,29.6452026269422,499440.0,9519599,-0.0688867333021252,505990.0,35.03,20.7,12.365,85.879,18.878,145.223,1.863,3.25,267.458,1.97,0.97,0.45,1.56,0.79,1.14
Spain_1999,299580.0,59.9831811629025,0.344501971093052,27.3986865289124,499440.0,9493345,0.0114507819550159,505990.0,38.53,23.7,14.432,83.531,32.501,163.251,1.994,3.831,299.54,2.11,0.96,0.7,1.62,0.89,1.22
Spain_2000,297780.0,59.6227775108121,0.337196554408742,26.9561909338459,499440.0,9510038,0.175684553572253,505990.0,39.22,23.84,14.728,88.321,37.151,164.907,2.133,4.145,311.385,2.05,0.98,0.78,1.6,0.79,1.23
Spain_2003,294190.0,58.9511862776531,0.311574090455396,25.8676659185636,499040.0,9722744,0.837593850711622,505320.0,40.17,24.02,16.038,84.293,51.271,179.717,1.9,4.482,337.701,1.89,0.82,1.01,1.69,0.66,1.23
Spain_2004,291530.0,58.3982692654394,0.308550050613159,26.0751988141263,499210.0,9796815,0.758944969390901,505370.0,39.86,23.3,16.292,87.397,58.846,185.141,2.234,4.702,354.612,1.8,0.8,1.12,1.68,0.72,1.24
Spain_2005,290710.0,58.2375095156056,0.303458176765029,26.0927921791738,499180.0,9862593,0.669178293274754,505370.0,39.6,21.95,16.792,87.766,68.908,189.185,2.297,4.733,369.681,1.75,0.76,1.28,1.7,0.69,1.25
Spain_2006,291640.0,58.4343505179427,0.295809088713061,25.8730890220201,499090.0,9925418,0.634982577009499,505370.0,39.35,22.31,16.745,77.952,74.005,184.585,2.416,5.0,360.703,1.6,0.64,1.34,1.65,0.72,1.18
Spain_2011,275450.0,55.2225340817963,0.268974551911434,25.1162790697674,498800.0,10041047,-0.610014047890767,505600.0,38.44,19.65,9.523,54.215,68.042,147.002,2.739,3.209,284.73,0.71,0.37,1.07,1.3,0.77,0.83
Spain_2013,269600.0,54.0497193263833,0.265176749713181,24.85966319166,498800.0,9865691,-1.03985377027234,505600.0,37.19,19.57,7.642,49.191,59.063,130.195,3.834,2.801,252.726,0.53,0.33,0.9,1.12,1.04,0.72
Oman_1994,10720.0,3.46365105008078,0.0141884777818223,0.0936995153473344,309500.0,591835,-1.46096964451939,309500.0,9.93,0.4,0.486,0.0,8.416,5.276,0.876,0.0,15.054,0.08,0.0,0.2,0.06,0.37,0.07
Oman_1995,10720.0,3.46365105008078,0.0137489889752073,0.0936995153473344,309500.0,597170,0.897395015671046,309500.0,10.55,0.42,0.473,0.0,6.876,7.678,0.692,0.0,15.719,0.08,0.0,0.16,0.08,0.29,0.07
Oman_1997,10710.0,3.46042003231018,0.0128676588857159,0.0904684975767367,309500.0,616917,1.05872481432322,309500.0,11.44,0.43,0.5,0.0,7.497,5.518,1.733,0.0,15.248,0.08,0.0,0.17,0.06,0.71,0.06
Oman_1999,10710.0,3.46042003231018,0.0142782461707816,0.10016155088853,309500.0,616407,-0.232530169615749,309500.0,11.51,0.48,0.474,0.0,9.754,7.738,2.59,0.001,20.557,0.07,0.0,0.21,0.08,1.16,0.08
Oman_2000,10710.0,3.46042003231018,0.0142706741788723,0.10016155088853,309500.0,617168,0.123381245005564,309500.0,12.62,0.48,0.479,0.0,11.029,8.163,1.865,3.55e-15,21.536,0.07,0.0,0.23,0.08,0.69,0.09
Oman_2002,11736.0,3.79192245557351,0.0138453121336296,0.10016155088853,309500.0,637025,2.16847002557432,309500.0,13.32,0.51,0.631,0.0,15.314,6.226,3.064,0.0,25.235,0.08,0.0,0.31,0.06,1.07,0.1
Oman_2005,17720.0,5.72536348949919,0.0117694757429076,0.0936995153473344,309500.0,694183,1.96374395454063,309500.0,13.51,0.61,0.936,0.0,18.892,6.87,2.77,0.0,29.467,0.1,0.0,0.35,0.06,0.83,0.1
Oman_2008,17650.0,5.70274636510501,0.0108960481978909,0.0904684975767367,309500.0,680287,-1.51430293847206,309500.0,13.72,0.73,1.429,0.0,28.692,9.289,2.701,0.0,42.11,0.13,0.0,0.49,0.08,0.75,0.13
Oman_2009,17670.0,5.7092084006462,0.0115672774060612,0.0969305331179321,309500.0,672241,-1.1897860769088,309500.0,14.25,0.73,1.438,0.0,28.729,7.709,2.777,0.001,40.654,0.12,0.0,0.5,0.07,0.76,0.13
Oman_2012,17705.0,5.7205169628433,0.0105793027842741,0.103392568659128,309500.0,735292,5.46594516425202,309500.0,16.68,0.86,2.121,0.0,41.637,12.715,2.495,0.0,58.968,0.15,0.0,0.64,0.11,0.68,0.17
Tanzania_1992,340030.0,38.3867690223527,0.341833247568107,10.1636938360804,885800.0,21278515,2.89050765353702,947300.0,25.06,19.54,0.221,0.011,0.0,1.946,0.0,0.0,2.178,0.04,0.0,0.0,0.02,0.0,0.01
Tanzania_1993,338000.0,38.1575976518401,0.323100602623011,9.93452246556785,885800.0,21915255,2.94850914650695,947300.0,25.51,19.65,0.221,0.264,0.0,1.941,0.0,0.0,2.426,0.04,0.0,0.0,0.02,0.0,0.01
Tanzania_1997,340000.0,38.3833822533303,0.292393357563646,10.160307067058,885800.0,24351032,2.31893673631428,947300.0,24.92,17.14,0.252,0.073,0.0,2.499,0.0,0.0,2.824,0.04,0.0,0.0,0.03,0.0,0.01
Tanzania_2000,340000.0,38.3833822533303,0.262181708016188,9.82163016482276,885800.0,25900400,1.99876600891249,947300.0,26.32,17.38,0.337,0.209,0.0,2.026,0.0,0.0,2.572,0.05,0.0,0.0,0.02,0.0,0.01
Tanzania_2001,340000.0,38.3833822533303,0.252788670552636,9.70873786407767,885800.0,26430876,2.0274459619634,947300.0,28.47,19.8,0.362,0.205,0.0,2.473,0.0,0.001,3.041,0.05,0.0,0.0,0.02,0.0,0.01
Tanzania_2002,341000.0,38.4962745540754,0.244444840548888,9.62971325355611,885800.0,26983215,2.06821338015053,947300.0,31.33,21.99,0.412,0.209,0.0,2.865,0.0,0.0,3.486,0.05,0.0,0.0,0.03,0.0,0.01
Tanzania_2004,342700.0,38.6881914653421,0.232312484992518,9.64100248363062,885800.0,28081231,1.89084097518945,947300.0,34.51,24.83,0.51,0.172,0.245,3.294,0.011,0.0,4.232,0.06,0.0,0.0,0.03,0.0,0.01
Tanzania_2005,351600.0,39.6929329419734,0.251554747355756,10.7247685707835,885800.0,28617289,1.89096284444069,947300.0,37.5,27.22,0.541,0.081,0.678,4.056,0.004,0.0,5.359,0.06,0.0,0.01,0.04,0.0,0.02
Tanzania_2012,373000.0,42.1088281779183,0.250244813854209,13.0955068864303,885800.0,33005407,2.06904043421045,947300.0,42.47,29.07,0.987,0.209,1.858,6.004,0.004,0.0,9.062,0.07,0.0,0.03,0.05,0.0,0.03
Tanzania_2013,406500.0,45.8907202528788,0.303454524210826,16.3693836080379,885800.0,33690435,2.05425726487494,947300.0,43.46,28.99,0.913,0.227,1.868,6.897,0.004,0.0,9.909,0.06,0.0,0.03,0.06,0.0,0.03
Gabon_1992,51570.0,20.0139713587146,0.303329737933389,1.14487522800481,257670.0,287269,-1.67593106461653,267670.0,6.35,0.36,0.047,0.0,0.198,1.037,3.635,0.0,4.917,0.01,0.0,0.0,0.01,1.53,0.02
Gabon_1993,51600.0,20.0256141576435,0.295347624153629,1.14487522800481,257670.0,282177,-1.78845253981753,267670.0,6.54,0.36,0.054,0.0,0.205,1.081,3.635,0.0,4.975,0.01,0.0,0.01,0.01,1.56,0.02
Gabon_1994,51600.0,20.0256141576435,0.287648004649172,1.14487522800481,257670.0,276911,-1.88383786961344,267670.0,7.33,0.36,0.051,0.0,0.194,0.707,3.422,0.001,4.375,0.01,0.0,0.0,0.01,1.44,0.02
Gabon_1995,51600.0,20.0256141576435,0.28021261963654,1.14487522800481,257670.0,271468,-1.9851886213119,267670.0,7.92,0.35,0.063,0.0,0.257,0.862,3.425,0.0,4.606,0.01,0.0,0.01,0.01,1.46,0.02
Gabon_1996,51600.0,20.0256141576435,0.300793075650847,1.26130321729344,257670.0,266251,-1.94047958223162,267670.0,8.31,0.31,0.075,0.0,0.242,1.015,3.422,0.0,4.754,0.01,0.0,0.01,0.01,1.44,0.02
Gabon_1998,51600.0,20.0256141576435,0.285736391035087,1.26130321729344,257670.0,256634,-1.80526697496997,267670.0,8.53,0.33,0.079,0.0,0.231,1.221,3.425,8.88e-16,4.956,0.01,0.0,0.01,0.01,1.48,0.02
Gabon_1999,51600.0,20.0256141576435,0.278605259210047,1.26130321729344,257670.0,252214,-1.73730118635628,267670.0,7.84,0.34,0.073,0.0,0.231,1.06,3.425,0.0,4.788,0.01,0.0,0.0,0.01,1.53,0.02
Gabon_2000,51600.0,20.0256141576435,0.271757535418369,1.26130321729344,257670.0,248034,-1.67120999466516,267670.0,7.29,0.34,0.085,0.0,0.234,1.041,3.309,0.0,4.669,0.01,0.0,0.0,0.01,1.23,0.02
Gabon_2001,51600.0,20.0256141576435,0.265192035752782,1.26130321729344,257670.0,244100,-1.59878561433575,267670.0,7.22,0.33,0.097,0.0,0.245,1.257,3.173,0.0,4.772,0.01,0.0,0.01,0.01,1.17,0.02
Gabon_2002,51600.0,20.0256141576435,0.258902460688649,1.26130321729344,257670.0,240390,-1.53153729408254,267670.0,6.83,0.38,0.103,0.0,0.256,1.183,3.001,0.001,4.544,0.01,0.0,0.01,0.01,1.05,0.02
Gabon_2004,51600.0,20.0256141576435,0.246994269732942,1.26130321729344,257670.0,233821,-1.32848424150502,267670.0,7.36,0.52,0.103,0.0,0.267,1.212,3.075,0.001,4.658,0.01,0.0,0.01,0.01,0.99,0.02
Gabon_2005,51600.0,20.0256141576435,0.241254523522316,1.26130321729344,257670.0,231072,-1.18265150948714,267670.0,7.11,0.48,0.103,0.0,0.278,1.4,3.078,0.0,4.859,0.01,0.0,0.01,0.01,0.93,0.02
Gabon_2006,51600.0,20.0256141576435,0.235598583508824,1.26130321729344,257670.0,228702,-1.03095041973817,267670.0,6.43,0.54,0.102,0.0,0.289,1.444,2.308,0.0,4.143,0.01,0.0,0.01,0.01,0.69,0.01
Gabon_2007,51600.0,20.0256141576435,0.230022216607321,1.26130321729344,257670.0,226743,-0.860262855597027,267670.0,6.18,0.54,0.089,0.0,0.311,1.576,2.114,0.0,4.09,0.01,0.0,0.01,0.01,0.61,0.01
Gabon_2008,51600.0,20.0256141576435,0.22454241709894,1.26130321729344,257670.0,225170,-0.696154504385046,267670.0,6.45,0.61,0.088,0.0,0.348,1.612,2.114,0.001,4.163,0.01,0.0,0.01,0.01,0.58,0.01
Gabon_2009,51600.0,20.0256141576435,0.219173574006149,1.26130321729344,257670.0,223969,-0.534802305084674,267670.0,6.21,0.55,0.096,0.0,0.462,1.559,2.116,0.0,4.233,0.01,0.0,0.01,0.01,0.58,0.01
Gabon_2010,51600.0,20.0256141576435,0.213934720288581,1.26130321729344,257670.0,223118,-0.380686992796673,267670.0,6.45,0.59,0.086,0.0,0.619,1.964,2.114,8.88e-16,4.783,0.01,0.0,0.01,0.02,0.58,0.01
Gabon_2011,51600.0,20.0256141576435,0.208839098791818,1.26130321729344,257670.0,222586,-0.238723571092457,267670.0,6.35,0.6,0.086,0.0,0.696,2.198,1.949,0.001,4.93,0.01,0.0,0.01,0.02,0.55,0.01
Gabon_2012,51600.0,20.0256141576435,0.203885237077754,1.26130321729344,257670.0,222416,-0.0764041547093882,267670.0,6.07,0.55,0.076,0.0,0.714,2.312,1.931,0.001,5.034,0.01,0.0,0.01,0.02,0.53,0.01
Gabon_2013,51600.0,20.0256141576435,0.199072383943863,1.26130321729344,257670.0,222569,0.0687663656209664,267670.0,5.93,0.65,0.066,0.0,0.703,2.587,1.913,0.0,5.269,0.0,0.0,0.01,0.02,0.52,0.01
New Zealand_1992,161190.0,61.216816679959,0.674086578352551,8.94762827085944,263310.0,526607,3.58530206859719,267710.0,32.15,14.61,0.477,4.922,8.443,13.303,0.54,0.59,28.275,0.09,0.06,0.21,0.14,0.23,0.13
New Zealand_1993,159600.0,60.612965705822,0.587535747656936,7.88044510273062,263310.0,528554,0.36904362646726,267710.0,32.12,14.51,0.489,4.889,8.182,13.173,0.518,0.612,27.863,0.09,0.06,0.2,0.14,0.22,0.12
