Country_Year,Cell Subscriptions,Cell Subscriptions per 100 People,Telephone Lines,Telephone Lines per 100 People,CO2 Cement,CO2 Coal,CO2 Gas,CO2 Oil,CO2 Flaring,CO2 Other,CO2 Total
Bolivia_2013,9493207.0,90.4434950079957,879330.0,8.37753548041045,1.199,0.004,7.346,10.354,0.191,0.0,19.094
Saudi Arabia_1993,15828.0,0.091684168314014,1568370.0,9.08483062033423,7.398,0.0,119.721,212.794,0.729,0.0,340.642
Saudi Arabia_1994,15910.0,0.0895929383420385,1614676.0,9.09261893842673,7.246,0.0,124.521,195.159,1.213,0.0,328.139
Saudi Arabia_1995,15959.0,0.0877012164250491,1675654.0,9.20840241290177,7.612,0.0,75.896,178.451,0.462,0.0,262.421
Saudi Arabia_1999,627321.0,3.25323932289459,2167037.0,11.23809020034,7.842,0.0,82.403,135.143,0.597,0.001,225.986
Saudi Arabia_2000,836628.0,4.26400862925732,2706182.0,13.7924900915829,8.696,0.0,88.183,198.371,1.114,0.0,296.364
Saudi Arabia_2003,5007965.0,22.9457741474002,3417000.0,15.6562017229886,11.545,0.0,97.902,216.839,0.231,0.0,326.517
Saudi Arabia_2005,9175764.0,38.4901845197943,3695133.0,15.5002189458209,11.527,0.0,127.254,256.689,0.385,0.0,395.855
Saudi Arabia_2006,14164184.0,57.3679447690442,3844000.0,15.5690140492531,12.391,0.0,135.0,283.766,0.136,0.0,431.292
Saudi Arabia_2007,19700000.0,77.6448434995264,3951000.0,15.5723236886614,14.179,0.0,113.478,258.466,0.385,0.0,386.507
Saudi Arabia_2008,28400000.0,109.586402395713,3996000.0,15.4192698582137,18.37,0.0,125.151,288.815,0.0,0.0,432.336
Saudi Arabia_2009,36000000.0,136.53762874645,4100000.0,15.5501188294568,20.185,0.0,119.593,326.067,0.0,0.0,465.844
Saudi Arabia_2012,53705808.0,193.452684213317,4633158.0,16.6890115773773,25.374,0.0,151.587,386.219,0.0,0.0,563.18
Saudi Arabia_2013,53012322.0,187.403116991373,4801824.0,16.9748607662193,28.223,0.0,153.199,359.383,0.0,0.0,540.805
Spain_1993,180296.0,0.461351558736282,13792156.0,35.2921455214423,9.914,82.449,14.172,130.039,1.838,2.797,241.209
Spain_1994,257261.0,0.65632916113775,14253470.0,36.3637240327997,11.499,82.941,15.21,138.902,2.089,3.047,253.688
Spain_1995,411930.0,1.04784233459058,14685406.0,37.3558374176452,12.365,85.879,18.878,145.223,1.863,3.25,267.458
Spain_1999,6437444.0,16.2030037698016,16288605.0,40.9983105437204,14.432,83.531,32.501,163.251,1.994,3.831,299.54
Spain_2000,15003708.0,37.5612058793694,16480426.0,41.2581125922814,14.728,88.321,37.151,164.907,2.133,4.145,311.385
Spain_2003,33530997.0,81.0970795326103,17640745.0,42.6653851145404,16.038,84.293,51.271,179.717,1.9,4.482,337.701
Spain_2004,37219839.0,88.5852043885138,17759164.0,42.2677586732478,16.292,87.397,58.846,185.141,2.234,4.702,354.612
Spain_2005,38622582.0,90.4291964601233,17934477.0,41.9909871391447,16.792,87.766,68.908,189.185,2.297,4.733,369.681
Spain_2006,42694115.0,98.4019305847169,19460832.0,44.8535691531453,16.745,77.952,74.005,184.585,2.416,5.0,360.703
Spain_2011,51389417.0,111.275766998416,20181424.0,43.6997258544545,9.523,54.215,68.042,147.002,2.739,3.209,284.73
Spain_2013,50665099.0,108.364017518641,19574626.0,41.8667910781115,7.642,49.191,59.063,130.195,3.834,2.801,252.726
Oman_1994,5616.0,0.274767211112807,147784.0,7.23044827761665,0.486,0.0,8.416,5.276,0.876,0.0,15.054
Oman_1995,6751.0,0.320066981281463,157840.0,7.48324282705763,0.473,0.0,6.876,7.678,0.692,0.0,15.719
Oman_1997,15000.0,0.689338868877637,197687.0,9.08488886478756,0.5,0.0,7.497,5.518,1.733,0.0,15.248
Oman_1999,98000.0,4.51376814431162,219956.0,10.1309223056143,0.474,0.0,9.754,7.738,2.59,0.001,20.557
Oman_2000,121000.0,5.57016637304371,220373.0,10.1447460671633,0.479,0.0,11.029,8.163,1.865,3.55e-15,21.536
Oman_2002,323000.0,14.4259219972979,230507.0,10.2949721418921,0.631,0.0,15.314,6.226,3.064,0.0,25.235
Oman_2005,806280.0,32.7223893172121,242745.0,9.85165996280034,0.936,0.0,18.892,6.87,2.77,0.0,29.467
Oman_2008,2500000.0,97.286144624026,294921.0,11.476690823465,1.429,0.0,28.692,9.289,2.701,0.0,42.11
Oman_2009,3219349.0,124.130343166419,301010.0,11.6062205733282,1.438,0.0,28.729,7.709,2.777,0.001,40.654
Oman_2012,4809248.0,158.995283614577,287323.0,9.49899066839374,2.121,0.0,41.637,12.715,2.495,0.0,58.968
Tanzania_1992,0.0,0.0,76369.0,0.289964048467497,0.221,0.011,0.0,1.946,0.0,0.0,2.178
Tanzania_1993,0.0,0.0,81306.0,0.29852292723712,0.221,0.264,0.0,1.941,0.0,0.0,2.426
Tanzania_1997,9038.0,0.0293627907295581,92760.0,0.301360087195598,0.252,0.073,0.0,2.499,0.0,0.0,2.824
Tanzania_2000,50950.0,0.153542046246262,149611.0,0.450865143885171,0.337,0.209,0.0,2.026,0.0,0.0,2.572
Tanzania_2001,110518.0,0.324856956885305,173591.0,0.510253931510496,0.362,0.205,0.0,2.473,0.0,0.001,3.041
Tanzania_2002,275560.0,0.789674328975987,177802.0,0.509528505735914,0.412,0.209,0.0,2.865,0.0,0.0,3.486
Tanzania_2004,1298000.0,3.53093214894952,147006.0,0.399898468018854,0.51,0.172,0.245,3.294,0.011,0.0,4.232
Tanzania_2005,1942000.0,5.14230862489345,148360.0,0.39284907702842,0.541,0.081,0.678,4.056,0.004,0.0,5.359
Tanzania_2012,25666455.0,55.3698039118312,161063.0,0.347458452187935,0.987,0.209,1.858,6.004,0.004,0.0,9.062
Tanzania_2013,27219283.0,56.9642384284471,176367.0,0.369099062562005,0.913,0.227,1.868,6.897,0.004,0.0,9.909
Gabon_1992,0.0,0.0,26288.0,2.70302784772641,0.047,0.0,0.198,1.037,3.635,0.0,4.917
Gabon_1993,280.0,0.0280329948349207,27630.0,2.7662558831745,0.054,0.0,0.205,1.081,3.635,0.0,4.975
Gabon_1994,1200.0,0.117009357823392,29834.0,2.9090476510859,0.051,0.0,0.194,0.707,3.422,0.001,4.375
Gabon_1995,2581.0,0.2451622953498,31398.0,2.98241214621969,0.063,0.0,0.257,0.862,3.425,0.0,4.606
Gabon_1996,4000.0,0.370206862339504,32000.0,2.96165489871603,0.075,0.0,0.242,1.015,3.422,0.0,4.754
Gabon_1998,9500.0,0.835229450717946,37253.0,3.27524239237849,0.079,0.0,0.231,1.221,3.425,8.88e-16,4.956
Gabon_1999,9694.0,0.831015194702214,38698.0,3.31737425258781,0.073,0.0,0.231,1.06,3.425,0.0,4.788
Gabon_2000,8891.0,0.743444999201451,37978.0,3.17563313234425,0.085,0.0,0.234,1.041,3.309,0.0,4.669
Gabon_2001,120000.0,9.79170593548734,38974.0,3.18018289274737,0.097,0.0,0.245,1.257,3.173,0.0,4.772
Gabon_2002,150000.0,11.9493443394761,37233.0,2.96606625194476,0.103,0.0,0.256,1.183,3.001,0.001,4.544
Gabon_2004,300000.0,22.7994710522716,38415.0,2.91947226824338,0.103,0.0,0.267,1.212,3.075,0.001,4.658
Gabon_2005,489367.0,36.3267699730908,38654.0,2.8693699545328,0.103,0.0,0.278,1.4,3.078,0.0,4.859
Gabon_2006,736690.0,53.4040370723433,39128.0,2.83646196170254,0.102,0.0,0.289,1.444,2.308,0.0,4.143
Gabon_2007,897987.0,63.5559877614026,36476.0,2.58162780706727,0.089,0.0,0.311,1.576,2.114,0.0,4.09
Gabon_2008,1169000.0,80.7661801811263,26497.0,1.83067705411403,0.088,0.0,0.348,1.612,2.114,0.001,4.163
Gabon_2009,1300000.0,87.6694296024596,33165.0,2.23658202520429,0.096,0.0,0.462,1.559,2.116,0.0,4.233
Gabon_2010,1450000.0,95.4477982825979,36460.0,2.40001843129898,0.086,0.0,0.619,1.964,2.114,8.88e-16,4.783
Gabon_2011,1610000.0,103.455676632254,30381.0,1.95222789550591,0.086,0.0,0.696,2.198,1.949,0.001,4.93
Gabon_2012,2370227.0,148.693628868644,22499.0,1.41145044584996,0.076,0.0,0.714,2.312,1.931,0.001,5.034
Gabon_2013,2930000.0,179.471410755544,22611.0,1.38499251487836,0.066,0.0,0.703,2.587,1.913,0.0,5.269
New Zealand_1992,72300.0,2.09808169169807,1493000.0,43.3255320291178,0.477,4.922,8.443,13.303,0.54,0.59,28.275
New Zealand_1993,100200.0,2.86030330062444,1534000.0,43.7894736842105,0.489,4.889,8.182,13.173,0.518,0.612,27.863
Albania_1992,0.0,0.0,41500.0,1.1995041278839,0.081,0.8,0.198,1.416,0.0,4.44e-16,2.495
Albania_1995,0.0,0.0,41500.0,1.22622635192933,0.081,0.161,0.051,1.773,0.0,0.0,2.066
Albania_1996,0.0,0.0,42150.0,1.25526451684377,0.081,0.114,0.044,1.755,0.0,0.0,1.993
Albania_1998,3300.0,0.0990599213464225,86800.0,2.60557611299075,0.033,0.055,0.033,1.623,0.0,2.22e-16,1.744
Albania_2000,11008.0,0.331772023673718,140392.0,4.23129886878639,0.073,0.07,0.022,2.84,0.0,0.0,3.004
Albania_2002,392650.0,11.9488728833469,197496.0,6.01007156238246,0.0,0.084,0.026,3.638,0.0,4.44e-16,3.748
Albania_2005,1259590.0,39.1639566854891,274557.0,8.53669722345988,0.194,0.073,0.022,3.91,0.0,0.0,4.199
Albania_2007,1909885.0,60.0673423758473,256000.0,8.05139558047574,0.348,0.073,0.033,3.375,0.0,4.44e-16,3.829
Albania_2008,2322436.0,73.3503841486794,300000.0,9.47501470206448,0.359,0.103,0.015,3.796,0.0,0.0,4.272
Albania_2010,2463741.0,78.1845877027214,363000.0,11.5194760066451,0.502,0.429,0.026,3.492,0.0,0.0,4.448
Albania_2012,3100000.0,98.2915345940227,338844.0,10.7437086283797,0.857,0.627,0.029,3.155,0.0,0.0,4.668
United Arab Emirates_1992,43008.0,2.25408568754121,437503.0,22.9299025892006,1.562,0.0,34.004,20.575,1.616,7.11e-15,57.757
United Arab Emirates_1993,48919.0,2.43018176561381,491549.0,24.41900727132,1.632,0.0,35.597,27.489,0.846,0.002,65.566
United Arab Emirates_1997,193834.0,7.84495772641361,738074.0,29.8717424650216,2.078,0.0,53.157,14.942,2.924,0.0,73.101
United Arab Emirates_1998,309373.0,11.8579467250391,835090.0,32.0081349394192,2.775,0.0,55.905,19.119,2.884,0.0,80.683
United Arab Emirates_2002,1909303.0,60.9591188542909,1052930.0,33.6173383770143,2.599,0.359,69.525,10.31,0.905,0.0,83.698
United Arab Emirates_2004,2972331.0,88.2192615932192,1135758.0,33.7094799026728,3.204,0.476,77.073,29.278,1.77,0.001,111.802
United Arab Emirates_2006,4534143.0,109.285872848186,1236860.0,29.8118794865992,4.588,1.066,82.561,31.694,1.828,0.0,121.737
United Arab Emirates_2007,5519293.0,113.201428571722,1309683.0,26.8617713493554,5.793,0.513,91.296,33.797,1.865,0.0,133.264
United Arab Emirates_2008,7731508.0,133.362864082485,1385523.0,23.8992594371184,7.835,1.378,107.805,35.069,1.883,0.0,153.97
United Arab Emirates_2009,9357735.0,137.641379482793,1595991.0,23.4751681771414,6.83,1.041,113.468,42.3,1.861,0.0,165.5
United Arab Emirates_2013,13775252.0,149.639085818048,1967486.0,21.3725895105083,5.468,6.72,136.411,54.828,1.964,0.0,205.39
India_1995,0.0,0.0,9795304.0,1.0437718987497,31.104,472.395,39.051,216.281,3.29,0.0,762.121
India_1996,76680.0,0.0080225623161133,11978000.0,1.25318533414718,34.079,505.217,39.747,243.16,3.715,0.001,825.919
India_1997,327967.0,0.0337016715399991,14542651.0,1.49439317773691,37.418,528.474,46.024,244.202,3.569,0.0,859.686
India_1998,881839.0,0.0890332656913376,17801696.0,1.7973157568722,39.026,524.872,47.595,262.892,3.312,0.001,877.698
India_1999,1195400.0,0.118621095044457,21593686.0,2.1427695159496,44.592,561.326,42.316,300.51,3.004,0.001,951.749
India_2000,1884311.0,0.183832581111121,26511345.0,2.58643556189897,45.957,573.692,43.873,312.287,3.111,0.0,978.919
India_2002,6540000.0,0.617271780899159,38536187.0,3.63720195390719,49.111,599.45,47.134,324.588,2.744,0.0,1023.027
India_2003,13000000.0,1.2073865423301,41420000.0,3.84691927563944,50.88,626.782,49.988,329.937,2.03,0.0,1059.616
India_2004,33690000.0,3.08012504543367,42000000.0,3.83987093820761,55.545,670.922,49.585,347.518,1.902,0.0,1125.471
India_2006,90140000.0,7.99720675861953,50176509.0,4.45165206233341,64.905,774.666,49.442,368.891,1.839,0.001,1259.744
India_2007,166050000.0,14.5238823400218,40770000.0,3.56602639568015,68.333,843.677,52.696,391.028,2.418,0.0,1358.152
India_2009,346890000.0,29.5310396834432,37900000.0,3.22645911961284,81.268,985.349,112.685,431.61,1.905,0.0,1612.817
India_2010,525090000.0,44.120091078273,37060000.0,3.11392442316707,86.029,1017.376,134.244,438.373,1.865,0.001,1677.888
India_2012,893862478.0,73.1980389481979,32685211.0,2.67657878778089,100.237,1247.112,125.605,488.554,2.077,0.001,1963.586
India_2013,864720917.0,69.9223897713815,30786709.0,2.4894509016209,107.82,1320.664,110.689,495.642,2.121,0.001,2036.937
Turkey_1993,61395.0,0.10999696767053,9410486.0,16.860085093346,13.049,70.419,11.088,73.155,0.231,3.069,171.011
Turkey_1996,437130.0,0.746945780686753,13127000.0,22.4307580424016,14.662,82.558,16.82,82.131,0.208,3.143,199.522
Turkey_1997,806339.0,1.35650245677748,14286478.0,24.0341128305804,15.105,90.41,20.788,81.936,0.206,3.561,212.006
Turkey_2003,23323118.0,35.8694140318014,18890000.0,29.0515715377647,16.022,91.942,43.191,81.716,0.145,3.468,236.484
Turkey_2005,34707549.0,51.9219377600347,19125163.0,28.6109377224107,19.117,102.006,54.853,83.954,0.142,4.129,264.201
Turkey_2008,61975807.0,89.1782973341411,18201006.0,26.1898118543012,24.837,122.73,71.544,85.825,0.135,4.25,309.321
Turkey_2010,62779554.0,88.1226870788596,16534356.0,23.2090192905554,29.284,129.478,71.64,79.712,0.156,4.11,314.38
Turkey_2011,61769635.0,85.6275801231165,16201466.0,22.4591310605437,30.527,135.078,86.019,82.936,0.151,4.771,339.482
Bangladesh_1995,1104.0,0.0009406192198565,262274.0,0.223460113467987,0.069,1.22,13.029,6.723,0.0,0.001,21.042
Bangladesh_1996,2500.0,0.0020855999459746,286605.0,0.239097349006422,0.154,0.678,13.498,7.163,0.0,0.0,21.493
Bangladesh_1999,75000.0,0.0588334392701315,412607.0,0.323667851692415,0.431,0.176,15.616,8.852,0.0,0.0,25.075
Bangladesh_2003,1075000.0,0.784635571337573,605931.0,0.442265131512695,0.835,1.367,21.39,9.867,0.0,0.0,33.459
Bangladesh_2004,1365000.0,0.98070218074972,742048.0,0.533134133202175,0.785,1.451,23.088,10.621,0.0,0.0,35.945
Bangladesh_2005,2781560.0,1.96945467532188,830950.0,0.588345519226161,0.751,1.605,24.722,10.599,0.0,7.11e-15,37.677
Bangladesh_2006,9000000.0,6.2877623795911,1070000.0,0.747545082906942,0.7,1.81,28.257,10.922,0.0,0.0,41.689
Bangladesh_2008,34370000.0,23.4676282299167,1186919.0,0.81042111815608,0.699,2.47,32.225,9.907,0.0,0.0,45.301
Bangladesh_2009,44640000.0,30.1682840815934,1344456.0,0.908600594605796,0.699,3.015,35.442,9.992,0.0,7.11e-15,49.148
Bangladesh_2010,51359315.0,34.3533445125887,1234895.0,0.825999594657235,0.68,3.074,39.397,10.841,0.0,0.0,53.992
Bangladesh_2012,84368700.0,55.192567230597,977700.0,0.639594695442204,0.675,3.422,41.715,14.88,0.0,0.0,60.691
Bangladesh_2013,97180000.0,62.8202390649473,961589.0,0.621601675882112,0.743,3.748,43.332,13.959,0.0,0.0,61.782
France_1992,375000.0,0.656765549462931,29100000.0,50.9650066383235,9.21,77.783,67.717,243.444,4.404,4.421,406.979
France_1994,572000.0,0.993573196841389,30900000.0,53.6737968223757,8.628,61.693,67.437,234.055,4.464,4.749,381.026
France_1995,883000.0,1.52788525557506,31700000.0,54.851599775458,8.487,62.843,68.595,236.788,4.345,4.917,385.975
France_1996,1302496.0,2.24533597035134,32400000.0,55.8534424976225,8.293,65.213,75.67,243.902,4.515,4.81,402.403
France_1997,2462700.0,4.2302639856844,32900000.0,56.5134547971807,7.967,61.191,74.98,241.629,4.46,5.018,395.245
France_1998,5817300.0,9.95800564220226,33700000.0,57.6873790490806,8.532,71.185,76.81,247.937,4.378,5.064,413.906
France_2000,21433500.0,36.3929361282959,33887995.0,57.5400022185369,8.395,65.576,84.029,238.851,4.213,4.837,405.901
France_2001,29052360.0,49.0640786625986,33987106.0,57.3979546686767,8.482,56.032,88.274,248.92,4.175,4.65,410.533
France_2005,44544000.0,73.0199139094822,33703000.0,55.2485218770492,8.906,61.992,94.211,241.967,3.92,4.522,415.518
France_2007,51662000.0,83.5343202408839,34125000.0,55.178055015682,9.251,61.339,88.79,226.955,4.515,4.578,395.428
France_2009,57972000.0,92.6771821238358,35100000.0,56.1127629294597,7.473,45.182,90.131,217.444,4.506,3.895,368.631
France_2013,62260000.0,97.3777528746261,39674000.0,62.0521196201079,7.099,49.317,91.071,202.678,3.05,4.322,357.537
Peru_1994,36300.0,0.157267207166186,673021.0,2.91581633703012,1.471,1.246,1.392,19.65,0.0,3.55e-15,23.759
Peru_1997,200972.0,0.824805563986024,1435147.0,5.88996094350382,1.974,1.264,0.788,23.259,0.0,0.0,27.285
Peru_2001,1273857.0,4.89943492481562,1717117.0,6.60427583299744,1.806,2.059,1.048,20.185,1.883,3.55e-15,26.981
Peru_2002,1793284.0,6.79986218903899,1570956.0,5.95682797874957,1.827,2.796,1.147,19.364,1.876,0.0,27.01
Peru_2003,2306943.0,8.63056810257005,1656624.0,6.19764175029552,1.845,2.766,1.268,18.445,1.887,0.0,26.21
Peru_2004,2930343.0,10.8237241855768,1839165.0,6.79327119445281,2.132,3.25,1.982,20.698,3.646,0.0,31.708
Peru_2006,5583356.0,20.1395931455588,2402626.0,8.66645618171962,2.612,2.869,3.829,18.727,0.396,0.0,28.432
Peru_2007,9120000.0,32.535769368201,2559232.0,9.13010768768858,2.73,3.605,5.346,22.501,0.487,0.0,34.669
Peru_2008,15417247.0,54.4232697846438,2844309.0,10.0404823285176,2.939,3.389,7.431,21.423,5.628,0.0,40.81
Peru_2009,20951834.0,73.1925741506876,3075428.0,10.7436175723376,3.33,3.056,9.386,23.664,11.881,0.001,51.318
Peru_2010,24700361.0,85.3670503139474,3548609.0,12.2643666239342,3.338,3.301,12.579,23.193,14.762,0.0,57.173
Peru_2013,29388077.0,98.0001100447515,3415478.0,11.3895584204243,4.257,3.371,11.864,23.274,0.297,0.0,43.063
Norway_1992,234423.0,5.49983143169042,2198243.0,51.5732924921763,0.653,3.814,7.212,19.985,2.552,0.252,34.468
Norway_1993,282918.0,6.60174392556861,2268486.0,52.9339372918565,0.838,4.195,7.573,20.41,2.712,0.28,36.008
Cuba_1992,0.0,0.0,339057.0,3.17325561817496,0.54,0.172,0.04,19.841,0.0,0.0,20.593
Cuba_1993,234.0,0.0021751475265923,336945.0,3.13207300575921,0.517,0.22,0.044,19.042,0.0,0.0,19.823
Cuba_1997,2427.0,0.0221022993130347,356158.0,3.24347372012023,0.942,0.073,0.07,23.724,0.0,0.0,24.809
Cuba_1998,2994.0,0.0271583125526283,370800.0,3.36349442034555,0.855,0.088,0.231,23.12,0.0,0.0,24.294
Cuba_2000,5136.0,0.0462636849889835,433762.0,3.90720960439865,0.809,0.062,1.103,23.802,0.0,0.0,25.775
Cuba_2002,8579.0,0.0767663806383001,574415.0,5.13996509317509,0.982,0.066,1.121,23.354,0.0,0.001,25.524
Cuba_2005,75797.0,0.672354824376719,768196.0,6.81425764432495,1.066,0.018,1.425,21.933,0.0,0.0,24.442
Cuba_2006,135534.0,1.20025738398194,855958.0,7.58016372185881,1.137,0.073,2.081,21.401,0.0,0.001,24.693
Cuba_2007,152715.0,1.35132863172612,961573.0,8.50866729787366,1.164,0.073,2.338,20.665,0.0,0.0,24.24
Cuba_2008,198252.0,1.75418261046992,1055118.0,9.33594439195468,1.079,0.092,2.228,24.71,0.0,0.0,28.108
Cuba_2009,331736.0,2.93666408323747,1088089.0,9.63221322276079,1.023,0.088,2.217,25.069,0.0,0.0,28.396
Cuba_2010,621156.0,5.50239679484829,1119786.0,9.91941943298621,0.927,0.077,2.059,31.136,0.0,0.001,34.2
Cuba_2013,1681645.0,14.9201616153801,1216522.0,10.7934224218937,0.921,0.037,2.045,25.021,0.0,0.0,28.024
China_1994,638000.0,0.0525923722492988,17332000.0,1.4287319683775,164.377,2380.586,41.568,423.712,0.0,89.759,3100.002
China_1995,1568000.0,0.127903776161997,27295300.0,2.22651271777713,184.637,2569.754,42.436,468.23,0.0,92.852,3357.909
China_1998,13233000.0,1.0527263861642,70310000.0,5.59337959731015,211.369,2444.771,50.501,559.262,0.0,94.552,3360.455
China_1999,23863000.0,1.88607136855488,87420937.0,6.90953049859365,228.322,2378.49,54.572,596.751,0.0,92.205,3350.34
China_2000,43296000.0,3.40132614890962,108715763.0,8.54069122991872,244.388,2396.426,59.796,648.685,0.0,89.857,3439.152
China_2004,269953000.0,20.7208224177185,262747000.0,20.1677104080647,379.992,3835.288,71.521,839.093,0.0,97.861,5223.755
China_2005,334824000.0,25.5510015440261,311756000.0,23.7906423594468,411.649,4424.39,84.957,850.173,0.0,105.386,5876.555
China_2009,641245000.0,47.7567162731978,340359000.0,25.3482338170735,583.56,6028.5,164.404,982.348,0.0,127.721,7886.533
China_2010,747214000.0,55.2980834070778,313732000.0,23.217951354591,639.592,6568.793,199.585,1092.572,0.0,116.11,8616.652
China_2012,986253000.0,72.0713209045364,285115000.0,20.8350338703121,714.782,7464.807,277.599,1176.712,0.0,141.722,9775.622
China_2013,1112155000.0,80.7627145493731,278153000.0,20.1989752687816,748.323,7493.455,320.127,1234.622,0.0,156.217,9952.744
Germany_1992,532251.0,0.65688528771756,33559719.0,41.4182137206609,14.444,454.135,129.384,354.501,3.54,9.889,965.893
Germany_1993,971890.0,1.19067452742911,35420843.0,43.394515325979,14.531,430.617,136.302,361.484,3.317,9.881,956.132
